BASE_PRECINCT,WINNER_CANDIDATE_16,WINNER_PARTY_16,MARGIN_PERCENTPOINTS_16,VOTE_SHARE_WINNER_16,WINNER_TEXT_16,CT_WINNER_CANDIDATE_16,CT_WINNER_PARTY_16,CT_WINNER_TEXT_16,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
246,Patrick Murphy (DEM),DEM,13.90,55.99,Patrick Murphy (DEM) won with 56% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Mount Zion Apostolic Temple,2982,Majority Hispanic,Other,36.5,29.6,4.1,11.2,77.7,7,Unincorporated M-D
247,Patrick Murphy (DEM),DEM,39.22,68.81,Patrick Murphy (DEM) won with 68.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Madison Middle School,1361,Majority Hispanic,Other,48.6,21.2,3.5,27,63.1,6.3,Unincorporated M-D
248,Patrick Murphy (DEM),DEM,51.48,74.23,Patrick Murphy (DEM) won with 74.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Central Branch Library,2970,Majority Hispanic,Heavily Democrat,54.8,16.9,2.4,39.5,51.8,6.3,Unincorporated M-D
249,Patrick Murphy (DEM),DEM,70.96,84.65,Patrick Murphy (DEM) won with 84.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,West Little River Park,2211,Majority Black,Heavily Democrat,67.1,11.6,2.4,63,29.6,5.1,Unincorporated M-D
250,Patrick Murphy (DEM),DEM,81.87,89.95,Patrick Murphy (DEM) won with 89.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Mt Carmel Missionary Baptist Church,2632,Majority Black,Heavily Democrat,74.1,6.4,0.9,73.2,20.3,5.6,Unincorporated M-D
251,Patrick Murphy (DEM),DEM,83.10,90.71,Patrick Murphy (DEM) won with 90.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Arcola Lakes Community Park,2761,Majority Black,Heavily Democrat,75.3,5.4,1.8,74.5,18.9,4.8,Unincorporated M-D
253,Patrick Murphy (DEM),DEM,80.79,89.81,Patrick Murphy (DEM) won with 89.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Palm Court Apartments,1270,Majority Black,Heavily Democrat,76.9,6.1,2.3,76.2,15.5,6,Unincorporated M-D
254,Patrick Murphy (DEM),DEM,80.81,89.38,Patrick Murphy (DEM) won with 89.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,The Highway Church of Apostle's Faith,2478,Majority Black,Heavily Democrat,74.7,5.4,1.5,74.9,17.4,6.3,Unincorporated M-D
256,Patrick Murphy (DEM),DEM,68.85,83.48,Patrick Murphy (DEM) won with 83.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Robert Sharp Towers #1,2356,Majority Black,Heavily Democrat,67.7,10,5.8,61.6,22.5,10.1,Miami Gardens
257,Patrick Murphy (DEM),DEM,82.27,89.58,Patrick Murphy (DEM) won with 89.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Saint James AME Church,2402,Majority Black,Heavily Democrat,77,4.3,1.2,79.6,13.8,5.4,Unincorporated M-D
258,Patrick Murphy (DEM),DEM,81.71,90.12,Patrick Murphy (DEM) won with 90.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,NFL Yet Center/Gwen Cherry Park,1138,Majority Black,Heavily Democrat,73.6,6,1.1,72.6,20.1,6.2,Unincorporated M-D
259,Patrick Murphy (DEM),DEM,73.01,85.98,Patrick Murphy (DEM) won with 86% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Dayspring Missionary Baptist Church,1770,Majority Black,Heavily Democrat,66.2,12.2,2.2,55.5,37.1,5.3,Unincorporated M-D
260,Patrick Murphy (DEM),DEM,74.13,85.66,Patrick Murphy (DEM) won with 85.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Dr. M. L. King Jr Memorial Park,897,Majority Black,Heavily Democrat,69.5,7.6,1.3,63.1,29.4,6.1,Unincorporated M-D
261,Patrick Murphy (DEM),DEM,81.80,90.16,Patrick Murphy (DEM) won with 90.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Agenoria S. Paschal/Olinda Elementary School,2305,Majority Black,Heavily Democrat,74.7,6.6,1.3,74,18.8,5.9,Unincorporated M-D
262,Patrick Murphy (DEM),DEM,71.18,84.35,Patrick Murphy (DEM) won with 84.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Mildred & Claude Pepper Towers,1760,Majority Black,Heavily Democrat,69.9,10.1,1,67.4,27,4.6,Unincorporated M-D
264,Patrick Murphy (DEM),DEM,73.95,85.83,Patrick Murphy (DEM) won with 85.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Kelsey L. Pharr Elementary School,1451,Majority Black,Heavily Democrat,67.7,8.3,2.5,59.2,33.1,5.2,Unincorporated M-D
265,Patrick Murphy (DEM),DEM,62.12,78.79,Patrick Murphy (DEM) won with 78.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Freeman Collins & Raymond Britton Senior Facility,90,Majority Black,Heavily Democrat,58.9,17.8,4.4,57.8,28.9,8.9,Opa Locka
266,Patrick Murphy (DEM),DEM,43.14,70.59,Patrick Murphy (DEM) won with 70.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Jefferson Reaves Sr. Park,87,Majority Hispanic,Heavily Democrat,59.8,19.5,0,47.1,51.7,1.1,Unincorporated M-D
267,Patrick Murphy (DEM),DEM,56.69,76.98,Patrick Murphy (DEM) won with 77% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Universal Truth Center,1477,Other,Heavily Democrat,59,14.4,2.7,47.9,43.9,5.4,Miami Gardens
269,Patrick Murphy (DEM),DEM,85.50,91.91,Patrick Murphy (DEM) won with 91.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Mount Zion African Methodist Episcopal Church,1554,Majority Black,Heavily Democrat,74.8,6.5,0.4,77.3,16.6,5.7,Miami Gardens
270,Patrick Murphy (DEM),DEM,84.68,91.17,Patrick Murphy (DEM) won with 91.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,City of Miami Gardens City Hall,2562,Majority Black,Heavily Democrat,72.3,5.9,1.4,74.4,16.7,7.5,Miami Gardens
272,Patrick Murphy (DEM),DEM,18.26,57.96,Patrick Murphy (DEM) won with 58% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Charles David Wyche Jr Elementary School,2340,Majority Hispanic,Other,36.4,28,5.6,12.9,74.7,6.8,Unincorporated M-D
274,Patrick Murphy (DEM),DEM,57.06,78.02,Patrick Murphy (DEM) won with 78% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Carol City Elementary School,1504,Other,Heavily Democrat,56.6,19,2.9,42.8,47,7.4,Miami Gardens
275,Patrick Murphy (DEM),DEM,76.34,86.16,Patrick Murphy (DEM) won with 86.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Dr. M. L. King Jr Memorial Park,403,Majority Black,Heavily Democrat,68.5,7.2,1.7,65.5,27.8,5,Unincorporated M-D
276,Patrick Murphy (DEM),DEM,75.00,86.41,Patrick Murphy (DEM) won with 86.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Greater Miami Church of God,1706,Majority Black,Heavily Democrat,66.4,7.3,3,68.5,19.3,9.2,Unincorporated M-D
278,Patrick Murphy (DEM),DEM,13.98,55.91,Patrick Murphy (DEM) won with 55.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Dayspring Missionary Baptist Church,206,Majority Hispanic,Other,34.5,23.3,2.4,6.8,79.1,11.7,Unincorporated M-D
280,Patrick Murphy (DEM),DEM,84.29,90.92,Patrick Murphy (DEM) won with 90.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Freeman Collins & Raymond Britton Senior Facility,1295,Majority Black,Heavily Democrat,73.5,4.6,1.5,79.9,13.1,5.6,Opa Locka
281,Patrick Murphy (DEM),DEM,7.05,51.28,Patrick Murphy (DEM) won with 51.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Jefferson Reaves Sr. Park,339,Majority Hispanic,Other,36,28.3,1.8,3.5,87.6,7.1,Unincorporated M-D
282,Patrick Murphy (DEM),DEM,76.55,87.57,Patrick Murphy (DEM) won with 87.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Lorah Park Elementary School,2908,Majority Black,Heavily Democrat,68,10,1.7,60.4,31.7,6.2,Unincorporated M-D
284,Patrick Murphy (DEM),DEM,7.09,52.09,Patrick Murphy (DEM) won with 52.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Melrose Elementary School,1404,Majority Hispanic,Other,38.4,27.4,4.1,2.4,86.5,7,Unincorporated M-D
285,Patrick Murphy (DEM),DEM,1.63,49.59,Patrick Murphy (DEM) won with 49.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Melrose Elementary School,201,Majority Hispanic,Other,34.8,31.8,4.5,1,87.6,7,Unincorporated M-D
288,Patrick Murphy (DEM),DEM,20.00,60.00,Patrick Murphy (DEM) won with 60% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Fire Fighter Benevolent Association,12,Majority Hispanic,Other,33.3,33.3,8.3,0,83.3,8.3,Unincorporated M-D
289,Marco Rubio (REP),REP,33.33,66.67,Marco Rubio (REP) won with 66.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Fire Fighter Benevolent Association,62,Majority Hispanic,Other,25.8,40.3,17.7,1.6,72.6,8.1,Unincorporated M-D
291,Patrick Murphy (DEM),DEM,46.20,72.40,Patrick Murphy (DEM) won with 72.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Gardens Elementary School,2472,Other,Heavily Democrat,55.1,20.3,3.3,42.4,47.9,6.4,Miami Gardens
295,Patrick Murphy (DEM),DEM,85.58,92.11,Patrick Murphy (DEM) won with 92.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Dade Regional Library,3215,Majority Black,Heavily Democrat,75,5.5,1.7,79.2,13.7,5.4,Miami Gardens
296,Patrick Murphy (DEM),DEM,54.91,76.30,Patrick Murphy (DEM) won with 76.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Dr. Robert B. Ingram Elementary School,2785,Other,Heavily Democrat,57,15.3,3.2,44.3,46,6.5,Opa Locka
297,Marco Rubio (REP),REP,17.75,57.93,Marco Rubio (REP) won with 57.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Seduction Banquet Hall,2919,Majority Hispanic,Other,23.5,41,4.4,0.7,88.7,6.2,Hialeah
298,Marco Rubio (REP),REP,11.49,54.30,Marco Rubio (REP) won with 54.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Springs Golf & Country Club,2300,Majority Hispanic,Other,27.3,37,25,0.7,66.7,7.6,Miami Springs
299,Marco Rubio (REP),REP,15.91,56.41,Marco Rubio (REP) won with 56.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Hialeah Fire Station #7,1890,Majority Hispanic,Other,23.2,42.5,2.8,0.3,88.7,8.3,Hialeah
300,Patrick Murphy (DEM),DEM,9.35,53.48,Patrick Murphy (DEM) won with 53.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Country Club of Miami,4354,Majority Hispanic,Other,31.6,28.9,5.7,4.3,83.2,6.8,Unincorporated M-D
301,Marco Rubio (REP),REP,42.16,70.15,Marco Rubio (REP) won with 70.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Palm Baptist Church,1619,Majority Hispanic,Other,19.3,49.7,20.2,0.6,75.4,3.8,Unincorporated M-D
302,Marco Rubio (REP),REP,35.05,66.49,Marco Rubio (REP) won with 66.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Norman & Jean Reach Park,1924,Majority Hispanic,Other,20.9,46,17.1,0.9,76.4,5.7,Unincorporated M-D
303,Patrick Murphy (DEM),DEM,0.39,48.80,Patrick Murphy (DEM) won with 48.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Sunrise Presbyterian Church,3554,Majority Hispanic,Other,33.3,33.8,13.1,8.6,71.6,6.8,Unincorporated M-D
304,Patrick Murphy (DEM),DEM,17.26,57.60,Patrick Murphy (DEM) won with 57.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Country Village Park,3759,Majority Hispanic,Other,33.5,25.5,4.2,5.7,81.5,8.6,Unincorporated M-D
305,Marco Rubio (REP),REP,16.64,57.19,Marco Rubio (REP) won with 57.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Lakes Branch Library,3172,Majority Hispanic,Other,26.5,41.1,18.4,3.9,72.1,5.5,Miami Lakes
306,Marco Rubio (REP),REP,12.85,55.52,Marco Rubio (REP) won with 55.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Lakes Middle School,2524,Majority Hispanic,Other,26.4,37.6,17.1,4.4,73.2,5.3,Miami Lakes
307,Marco Rubio (REP),REP,40.53,68.97,Marco Rubio (REP) won with 69% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Lakes United Methodist Church,2271,Majority Hispanic,Heavily Republican,22.4,50.8,20.6,1,73.1,5.4,Miami Lakes
308,Marco Rubio (REP),REP,29.14,63.83,Marco Rubio (REP) won with 63.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Lakes K-8 Center,1477,Majority Hispanic,Other,24.4,46.6,20,0.7,73.4,5.9,Miami Lakes
309,Marco Rubio (REP),REP,25.33,61.85,Marco Rubio (REP) won with 61.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Carl F. Slade Park,2868,Majority Hispanic,Other,24.2,43.3,3.4,0.3,89.1,7.2,Hialeah
310,Marco Rubio (REP),REP,36.99,67.68,Marco Rubio (REP) won with 67.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Hialeah-Miami Lakes Senior High School,2561,Majority Hispanic,Other,21.1,47.6,7.9,0.5,85.2,6.4,Hialeah
311,Marco Rubio (REP),REP,21.20,59.57,Marco Rubio (REP) won with 59.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Iglesia Cristo Vive - Hermanos en Cristo,3624,Majority Hispanic,Other,22.9,45.7,3.9,1.4,88.2,6.5,Hialeah
312,Marco Rubio (REP),REP,10.41,53.70,Marco Rubio (REP) won with 53.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ministerio Unidos En Amor,2283,Majority Hispanic,Other,23.2,40.2,5,0.7,86.5,7.8,Hialeah
314,Marco Rubio (REP),REP,48.34,73.51,Marco Rubio (REP) won with 73.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Hialeah Middle School,233,Majority Hispanic,Other,18.5,47.2,6.9,0.4,88,4.7,Hialeah
315,Marco Rubio (REP),REP,39.42,69.20,Marco Rubio (REP) won with 69.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Palm Springs Elementary School,2125,Majority Hispanic,Other,19.8,46,7.5,0.3,86.8,5.4,Hialeah
316,Marco Rubio (REP),REP,39.45,68.51,Marco Rubio (REP) won with 68.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,O'Quinn Park,1782,Majority Hispanic,Other,19,49.8,6.9,0.5,86,6.6,Hialeah
317,Marco Rubio (REP),REP,46.89,72.98,Marco Rubio (REP) won with 73% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Hialeah Fire Station #5,1565,Majority Hispanic,Heavily Republican,16.9,54.2,10.2,0.3,84.4,5.1,Hialeah
318,Marco Rubio (REP),REP,39.93,69.30,Marco Rubio (REP) won with 69.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,John G. DuPuis Elementary School,3309,Majority Hispanic,Other,21.4,48.5,5.9,0.3,87.4,6.4,Hialeah
319,Marco Rubio (REP),REP,40.43,69.40,Marco Rubio (REP) won with 69.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Hialeah Middle School,1473,Majority Hispanic,Other,20.2,48.9,7.2,0.2,86.2,6.4,Hialeah
320,Marco Rubio (REP),REP,28.43,63.29,Marco Rubio (REP) won with 63.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Sparks Park,3268,Majority Hispanic,Other,20.2,46.8,4.3,0.4,88.8,6.5,Hialeah
321,Marco Rubio (REP),REP,15.09,56.44,Marco Rubio (REP) won with 56.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Victor Wilde Community Center,3673,Majority Hispanic,Other,23.7,44.9,3.7,0.5,88.9,6.9,Hialeah
322,Patrick Murphy (DEM),DEM,5.20,51.12,Patrick Murphy (DEM) won with 51.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Ben Sheppard Elementary School,2500,Majority Hispanic,Other,29.3,32.8,3.8,1,87.5,7.8,Hialeah
323,Marco Rubio (REP),REP,17.69,58.11,Marco Rubio (REP) won with 58.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,La Esperanza Senior Housing Project,1908,Majority Hispanic,Other,22.6,48,2.9,0.5,89.7,6.9,Hialeah
324,Marco Rubio (REP),REP,23.81,60.77,Marco Rubio (REP) won with 60.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Vivian Villas,1827,Majority Hispanic,Other,20.9,45.5,2.7,0.8,88.9,7.6,Hialeah
325,Marco Rubio (REP),REP,47.40,72.96,Marco Rubio (REP) won with 73% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Goodlet Park,1289,Majority Hispanic,Heavily Republican,18.2,52.2,7.6,0.3,87,5.1,Hialeah
326,Marco Rubio (REP),REP,47.12,73.13,Marco Rubio (REP) won with 73.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Goodlet Park,1177,Majority Hispanic,Heavily Republican,18.2,53.4,6.9,0.3,87.1,5.8,Hialeah
327,Marco Rubio (REP),REP,9.12,53.38,Marco Rubio (REP) won with 53.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Jose Marti MAST 6-12 Academy,2899,Majority Hispanic,Other,24.9,37.3,2.8,0.5,88.9,7.8,Hialeah
328,Marco Rubio (REP),REP,39.10,68.65,Marco Rubio (REP) won with 68.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Immaculate Conception Catholic Church,3129,Majority Hispanic,Other,20.4,48.7,5.3,0.4,88.1,6.1,Hialeah
329,Patrick Murphy (DEM),DEM,91.67,91.67,Patrick Murphy (DEM) won with 91.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Johnny L. Cotson Sr Park,27,Majority Black,Heavily Democrat,74.1,3.7,0,81.5,7.4,11.1,Hialeah
330,Marco Rubio (REP),REP,29.69,64.20,Marco Rubio (REP) won with 64.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Trail Park,2881,Majority Hispanic,Other,22.6,44.2,5.3,0.6,89.3,4.8,Unincorporated M-D
331,Marco Rubio (REP),REP,38.63,68.74,Marco Rubio (REP) won with 68.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,John F. Kennedy Library,3314,Majority Hispanic,Other,20.3,49.2,5.3,0.4,87.5,6.8,Hialeah
332,Marco Rubio (REP),REP,18.94,58.23,Marco Rubio (REP) won with 58.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Twin Lakes Elementary School,2276,Majority Hispanic,Other,21.5,43.4,4,1.4,87.3,7.4,Hialeah
333,Marco Rubio (REP),REP,29.27,63.41,Marco Rubio (REP) won with 63.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,James H. Bright Elementary School,1903,Majority Hispanic,Other,22.2,44.8,4.2,0.7,86.6,8.6,Hialeah
334,Patrick Murphy (DEM),DEM,2.50,50.00,Patrick Murphy (DEM) won with 50% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Twin Lakes Elementary School,134,Majority Hispanic,Other,24.6,42.5,9,1.5,84.3,5.2,Hialeah
335,Marco Rubio (REP),REP,8.62,52.75,Marco Rubio (REP) won with 52.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Johnny L. Cotson Sr Park,1696,Majority Hispanic,Other,25.7,45.3,3,7.9,82.3,6.8,Hialeah
336,Marco Rubio (REP),REP,26.43,62.86,Marco Rubio (REP) won with 62.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Johnny L. Cotson Sr Park,863,Majority Hispanic,Other,21.7,48.6,5.1,0.8,86.7,7.4,Hialeah
337,Marco Rubio (REP),REP,28.27,63.14,Marco Rubio (REP) won with 63.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Bright Park Recreation Center,3155,Majority Hispanic,Other,21.5,45.2,5.2,0.8,86.8,7.2,Hialeah
338,Marco Rubio (REP),REP,34.61,66.37,Marco Rubio (REP) won with 66.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Revive Iglesia Adventista del Septimo Dia,1493,Majority Hispanic,Other,21,44.3,6.8,0.7,86.3,6.2,Hialeah
339,Marco Rubio (REP),REP,22.86,60.26,Marco Rubio (REP) won with 60.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Revive Iglesia Adventista del Septimo Dia,3499,Majority Hispanic,Other,22.7,44,4.8,0.7,87,7.6,Hialeah
340,Marco Rubio (REP),REP,10.09,54.01,Marco Rubio (REP) won with 54% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Benny Babcock Park,4415,Majority Hispanic,Other,24,45.4,3.4,1,88,7.6,Hialeah
341,Patrick Murphy (DEM),DEM,100.00,100.00,Patrick Murphy (DEM) won with 100% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,West End Park Community House,161,Majority Hispanic,Other,31.7,24.2,17.4,5.6,64.6,12.4,Unincorporated M-D
342,Marco Rubio (REP),REP,26.19,62.03,Marco Rubio (REP) won with 62% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,South East Park,1968,Majority Hispanic,Other,22.9,43.5,5.7,0.7,88,5.6,Hialeah
343,Marco Rubio (REP),REP,8.77,52.64,Marco Rubio (REP) won with 52.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Miami Springs Middle School,2873,Majority Hispanic,Other,27.8,35.7,18.4,1.5,73.8,6.3,Miami Springs
