LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,TOTAL_REGISTERED_VOTERS,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,NPA_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE
Last updated at 11-14-2022 21:00,E004,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),1170,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),1071,REP,2257,0.49,51.84,0.22,47.45,DEM,Charlie Crist (DEM),99,4.39,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5016,Other,Other,44.7,23.3,30.4,40.4,24.6,21.4
Last updated at 11-14-2022 21:00,E005,Carmen Jackie Gimenez (NPA),19,NPA,Charlie Crist (DEM),1256,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),916,REP,2197,0.86,57.17,0.27,41.69,DEM,Charlie Crist (DEM),340,15.48,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5361,Other,Other,48.5,18.2,31.7,34.8,21.4,30.4
Last updated at 11-14-2022 21:00,E006,Carmen Jackie Gimenez (NPA),19,NPA,Charlie Crist (DEM),1027,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),718,REP,1769,1.07,58.06,0.28,40.59,DEM,Charlie Crist (DEM),309,17.47,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4273,Other,Other,47.7,17.9,32.4,39.1,21.4,27.3
Last updated at 11-14-2022 21:00,E007,Carmen Jackie Gimenez (NPA),13,NPA,Charlie Crist (DEM),1537,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),1258,REP,2815,0.46,54.6,0.25,44.69,DEM,Charlie Crist (DEM),279,9.91,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5738,Other,Other,44.8,23.2,30.5,48.6,20.3,19.7
Last updated at 11-14-2022 21:00,E008,Carmen Jackie Gimenez (NPA),16,NPA,Charlie Crist (DEM),1847,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),1482,REP,3351,0.48,55.12,0.18,44.23,DEM,Charlie Crist (DEM),365,10.89,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6620,Other,Other,44.9,24.1,29.3,48.5,17.3,23.7
Last updated at 11-14-2022 21:00,E009,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),1381,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),1179,REP,2576,0.43,53.61,0.19,45.77,DEM,Charlie Crist (DEM),202,7.84,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5248,Other,Other,44.0,23.8,30.4,48.7,16.5,23.7
Last updated at 11-14-2022 21:00,E010,Carmen Jackie Gimenez (NPA),14,NPA,Charlie Crist (DEM),1252,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),1176,REP,2446,0.57,51.19,0.16,48.08,DEM,Charlie Crist (DEM),76,3.11,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5251,Other,Other,42.9,24.2,31.2,45.9,19.3,24.0
Last updated at 11-14-2022 21:00,E011,Carmen Jackie Gimenez (NPA),14,NPA,Charlie Crist (DEM),1287,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),787,REP,2089,0.67,61.61,0.05,37.67,DEM,Charlie Crist (DEM),500,23.93,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5424,Other,Heavily Democrat,50.6,16.7,30.8,31.7,32.5,23.4
Last updated at 11-14-2022 21:00,E012,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),1969,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),1777,REP,3759,0.21,52.38,0.13,47.27,DEM,Charlie Crist (DEM),192,5.11,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,7116,Majority White,Other,43.3,24.1,31.0,53.1,13.8,17.7
Last updated at 11-14-2022 21:00,E013,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),655,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),595,REP,1253,0.24,52.27,0.0,47.49,DEM,Charlie Crist (DEM),60,4.79,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2289,Majority White,Other,37.1,30.7,30.7,63.0,7.8,17.4
Last updated at 11-14-2022 21:00,E014,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),1292,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),1057,REP,2355,0.08,54.86,0.17,44.88,DEM,Charlie Crist (DEM),235,9.98,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4551,Other,Other,42.3,24.1,32.2,49.7,15.0,18.3
Last updated at 11-14-2022 21:00,E015,Carmen Jackie Gimenez (NPA),20,NPA,Charlie Crist (DEM),1059,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),820,REP,1904,1.05,55.62,0.26,43.07,DEM,Charlie Crist (DEM),239,12.55,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4518,Other,Other,46.3,19.9,32.2,39.6,22.5,24.0
Last updated at 11-14-2022 21:00,E016,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),1865,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),1556,REP,3435,0.23,54.29,0.17,45.3,DEM,Charlie Crist (DEM),309,9.0,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6781,Other,Other,43.1,24.5,30.7,46.3,18.8,18.1
Last updated at 11-14-2022 21:00,F001,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),697,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),764,REP,1469,0.48,47.45,0.07,52.01,REP,Ron DeSantis (REP),67,4.56,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3240,Majority White,Other,38.1,25.5,34.5,53.8,13.4,20.1
Last updated at 11-14-2022 21:00,F002,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),1121,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),1014,REP,2148,0.51,52.19,0.09,47.21,DEM,Charlie Crist (DEM),107,4.98,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4554,Other,Other,41.1,23.4,33.4,48.5,18.2,20.0
Last updated at 11-14-2022 21:00,F003,Carmen Jackie Gimenez (NPA),20,NPA,Charlie Crist (DEM),1559,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),1107,REP,2693,0.74,57.89,0.26,41.11,DEM,Charlie Crist (DEM),452,16.78,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5777,Other,Other,45.5,20.3,32.4,49.1,15.2,24.4
Last updated at 11-14-2022 21:00,F004,Carmen Jackie Gimenez (NPA),15,NPA,Charlie Crist (DEM),2110,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),1264,REP,3395,0.44,62.15,0.18,37.23,DEM,Charlie Crist (DEM),846,24.92,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5112,Majority White,Heavily Democrat,51.6,22.7,23.9,74.4,6.4,12.0
Last updated at 11-14-2022 21:00,F005,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),498,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),568,REP,1075,0.28,46.33,0.56,52.84,REP,Ron DeSantis (REP),70,6.51,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2072,Majority White,Other,41.1,26.8,30.4,58.1,18.7,15.1
Last updated at 11-14-2022 21:00,F006,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),61,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),19,REP,80,0.0,76.25,0.0,23.75,DEM,Charlie Crist (DEM),42,52.5,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,255,Other,Heavily Democrat,52.9,13.7,31.0,22.7,48.2,17.3
Last updated at 11-14-2022 21:00,F007,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),1288,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),859,REP,2165,0.46,59.49,0.37,39.68,DEM,Charlie Crist (DEM),429,19.82,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4840,Other,Other,48.9,18.1,30.9,45.4,23.3,20.7
Last updated at 11-14-2022 21:00,F008,Carmen Jackie Gimenez (NPA),17,NPA,Charlie Crist (DEM),1532,DEM,Hector Roos (LPF),10,LPF,Ron DeSantis (REP),1212,REP,2771,0.61,55.29,0.36,43.74,DEM,Charlie Crist (DEM),320,11.55,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6163,Other,Other,44.4,20.9,32.7,45.8,18.6,22.6
Last updated at 11-14-2022 21:00,F009,Carmen Jackie Gimenez (NPA),17,NPA,Charlie Crist (DEM),1341,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),1190,REP,2548,0.67,52.63,0.0,46.7,DEM,Charlie Crist (DEM),151,5.93,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5478,Other,Other,41.3,21.9,35.1,48.8,15.1,23.2
Last updated at 11-14-2022 21:00,G001,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),682,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),317,REP,1006,0.5,67.79,0.2,31.51,DEM,Charlie Crist (DEM),365,36.28,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2091,Other,Heavily Democrat,53.2,14.2,30.9,24.9,39.1,17.6
Last updated at 11-14-2022 21:00,G002,Carmen Jackie Gimenez (NPA),12,NPA,Charlie Crist (DEM),786,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),558,REP,1359,0.88,57.84,0.22,41.06,DEM,Charlie Crist (DEM),228,16.78,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3019,Other,Other,45.9,20.3,31.9,43.6,23.9,21.6
Last updated at 11-14-2022 21:00,G003,Carmen Jackie Gimenez (NPA),21,NPA,Charlie Crist (DEM),1332,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),1144,REP,2503,0.84,53.22,0.24,45.71,DEM,Charlie Crist (DEM),188,7.51,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5951,Other,Other,46.4,21.1,30.7,41.9,24.1,22.3
Last updated at 11-14-2022 21:00,G004,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),588,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),380,REP,978,0.92,60.12,0.1,38.85,DEM,Charlie Crist (DEM),208,21.27,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2574,Other,Other,47.6,17.7,33.0,34.8,28.4,23.8
Last updated at 11-14-2022 21:00,G005,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),970,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),376,REP,1356,0.37,71.53,0.37,27.73,DEM,Charlie Crist (DEM),594,43.81,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3329,Other,Heavily Democrat,57.5,13.5,28.0,23.3,49.8,14.6
Last updated at 11-14-2022 21:00,G006,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),752,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),388,REP,1154,0.95,65.16,0.26,33.62,DEM,Charlie Crist (DEM),364,31.54,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3072,Other,Heavily Democrat,55.3,13.0,30.4,21.4,42.9,21.3
Last updated at 11-14-2022 21:00,G007,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),468,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),331,REP,807,0.62,57.99,0.37,41.02,DEM,Charlie Crist (DEM),137,16.98,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1630,Other,Heavily Democrat,50.1,21.5,27.2,44.3,23.6,23.5
Last updated at 11-14-2022 21:00,G008,Carmen Jackie Gimenez (NPA),16,NPA,Charlie Crist (DEM),2182,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),1403,REP,3606,0.44,60.51,0.14,38.91,DEM,Charlie Crist (DEM),779,21.6,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,7040,Other,Heavily Democrat,51.7,19.0,27.7,39.3,24.7,24.2
Last updated at 11-14-2022 21:00,G009,Carmen Jackie Gimenez (NPA),22,NPA,Charlie Crist (DEM),2045,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),1656,REP,3731,0.59,54.81,0.21,44.38,DEM,Charlie Crist (DEM),389,10.43,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,8211,Other,Other,46.9,20.9,30.9,41.8,24.7,21.1
Last updated at 11-14-2022 21:00,G010,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),418,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),234,REP,662,1.51,63.14,0.0,35.35,DEM,Charlie Crist (DEM),184,27.79,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1499,Other,Heavily Democrat,51.1,15.4,31.6,32.4,37.4,13.8
Last updated at 11-14-2022 21:00,H001,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),16,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),17,REP,34,2.94,47.06,0.0,50.0,REP,Ron DeSantis (REP),1,2.94,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,229,Majority Hispanic,Other,41.5,14.4,44.1,21.4,8.7,62.9
Last updated at 11-14-2022 21:00,H002,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),1174,DEM,Hector Roos (LPF),10,LPF,Ron DeSantis (REP),420,REP,1612,0.5,72.83,0.62,26.05,DEM,Charlie Crist (DEM),754,46.77,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4802,Other,Heavily Democrat,59.7,10.8,28.1,14.2,46.5,27.5
Last updated at 11-14-2022 21:00,H003,Carmen Jackie Gimenez (NPA),16,NPA,Charlie Crist (DEM),1814,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),399,REP,2231,0.72,81.31,0.09,17.88,DEM,Charlie Crist (DEM),1415,63.42,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6075,Majority Black,Heavily Democrat,65.5,7.8,25.6,9.2,66.3,10.7
Last updated at 11-14-2022 21:00,H004,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),1423,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),346,REP,1784,0.56,79.76,0.28,19.39,DEM,Charlie Crist (DEM),1077,60.37,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4656,Majority Black,Heavily Democrat,64.3,8.8,26.2,13.1,59.5,13.5
Last updated at 11-14-2022 21:00,H005,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),754,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),161,REP,924,0.65,81.6,0.32,17.42,DEM,Charlie Crist (DEM),593,64.18,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2840,Majority Black,Heavily Democrat,66.8,6.2,25.5,8.6,68.8,11.1
Last updated at 11-14-2022 21:00,H006,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),352,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),67,REP,419,0.0,84.01,0.0,15.99,DEM,Charlie Crist (DEM),285,68.02,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1098,Majority Black,Heavily Democrat,64.8,7.4,26.4,14.7,56.3,18.3
Last updated at 11-14-2022 21:00,H007,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),1006,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),316,REP,1334,0.67,75.41,0.22,23.69,DEM,Charlie Crist (DEM),690,51.72,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3019,Other,Heavily Democrat,61.1,10.7,26.4,20.2,48.8,18.0
Last updated at 11-14-2022 21:00,J001,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),520,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),308,REP,836,0.84,62.2,0.12,36.84,DEM,Charlie Crist (DEM),212,25.36,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1769,Other,Heavily Democrat,52.2,16.1,29.8,35.6,28.5,25.6
Last updated at 11-14-2022 21:00,J002,Carmen Jackie Gimenez (NPA),23,NPA,Charlie Crist (DEM),2041,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),893,REP,2960,0.78,68.95,0.1,30.17,DEM,Charlie Crist (DEM),1148,38.78,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6037,Other,Heavily Democrat,58.9,15.1,24.6,24.7,45.2,19.1
Last updated at 11-14-2022 21:00,J003,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),699,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),352,REP,1061,0.75,65.88,0.19,33.18,DEM,Charlie Crist (DEM),347,32.7,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,1775,Other,Heavily Democrat,51.8,20.1,26.7,35.2,36.7,16.0
Last updated at 11-14-2022 21:00,J004,Carmen Jackie Gimenez (NPA),12,NPA,Charlie Crist (DEM),1405,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),391,REP,1811,0.66,77.58,0.17,21.59,DEM,Charlie Crist (DEM),1014,55.99,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4098,Majority Black,Heavily Democrat,64.0,9.7,24.9,19.8,50.4,18.9
Last updated at 11-14-2022 21:00,J005,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),321,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),171,REP,493,0.2,65.11,0.0,34.69,DEM,Charlie Crist (DEM),150,30.43,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,949,Other,Heavily Democrat,53.7,19.2,25.9,35.2,30.8,24.1
Last updated at 11-14-2022 21:00,J006,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),1128,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),525,REP,1668,0.6,67.63,0.3,31.47,DEM,Charlie Crist (DEM),603,36.15,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3551,Other,Heavily Democrat,54.9,15.1,28.6,28.4,36.6,24.0
Last updated at 11-14-2022 21:00,J007,Carmen Jackie Gimenez (NPA),12,NPA,Charlie Crist (DEM),910,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),529,REP,1457,0.82,62.46,0.41,36.31,DEM,Charlie Crist (DEM),381,26.15,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3588,Other,Heavily Democrat,50.9,16.2,31.8,31.5,26.1,31.5
Last updated at 11-14-2022 21:00,J008,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),1498,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),882,REP,2394,0.33,62.57,0.25,36.84,DEM,Charlie Crist (DEM),616,25.73,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4828,Other,Heavily Democrat,50.6,17.3,30.3,40.1,28.1,22.5
Last updated at 11-14-2022 21:00,J009,Carmen Jackie Gimenez (NPA),17,NPA,Charlie Crist (DEM),1342,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),686,REP,2049,0.83,65.5,0.2,33.48,DEM,Charlie Crist (DEM),656,32.02,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4449,Other,Heavily Democrat,55.3,15.3,28.2,28.6,31.1,30.4
Last updated at 11-14-2022 21:00,J010,Carmen Jackie Gimenez (NPA),15,NPA,Charlie Crist (DEM),1523,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),864,REP,2407,0.62,63.27,0.21,35.9,DEM,Charlie Crist (DEM),659,27.38,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,5018,Other,Heavily Democrat,50.1,17.1,31.0,35.5,25.5,27.5
Last updated at 11-14-2022 21:00,J011,Carmen Jackie Gimenez (NPA),26,NPA,Charlie Crist (DEM),2655,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),1434,REP,4120,0.63,64.44,0.12,34.81,DEM,Charlie Crist (DEM),1221,29.64,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6816,Majority White,Heavily Democrat,54.6,19.0,25.0,53.0,16.9,21.6
Last updated at 11-14-2022 21:00,J012,Carmen Jackie Gimenez (NPA),14,NPA,Charlie Crist (DEM),2319,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),1205,REP,3545,0.39,65.42,0.2,33.99,DEM,Charlie Crist (DEM),1114,31.42,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,6386,Other,Heavily Democrat,54.4,17.4,26.6,48.7,21.0,21.9
Last updated at 11-14-2022 21:00,K001,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),54,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),5,REP,59,0.0,91.53,0.0,8.47,DEM,Charlie Crist (DEM),49,83.05,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,227,Majority Black,Heavily Democrat,74.0,4.0,21.6,3.5,85.5,3.5
Last updated at 11-14-2022 21:00,K002,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),1116,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),147,REP,1268,0.24,88.01,0.16,11.59,DEM,Charlie Crist (DEM),969,76.42,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,3090,Majority Black,Heavily Democrat,74.3,4.5,20.2,6.8,79.1,4.9
Last updated at 11-14-2022 21:00,K003,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),1631,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),168,REP,1813,0.55,89.96,0.22,9.27,DEM,Charlie Crist (DEM),1463,80.69,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,4677,Majority Black,Heavily Democrat,77.0,3.7,18.5,4.6,84.3,3.3
Last updated at 11-14-2022 21:00,K004,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),928,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),127,REP,1064,0.56,87.22,0.28,11.94,DEM,Charlie Crist (DEM),801,75.28,598502,0.46,57.34,0.22,41.97,DEM,Charlie Crist (DEM),91992,15.37,57.34,REP,Ron DeSantis (REP),41.97,2459,Majority Black,Heavily Democrat,73.3,5.9,20.0,10.5,69.4,9.8
