LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,TOTAL_REGISTERED_VOTERS,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,NPA_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE
Last updated at 11-14-2022 20:55,231,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),888,DEM,Hector Roos (LPF),9,LPF,Ron DeSantis (REP),434,REP,1337,0.45,66.42,0.67,32.46,DEM,Charlie Crist (DEM),454,33.96,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2178,Majority White,Heavily Democrat,51.5,21.2,25.3,70.2,9.6,13.0,7.3
Last updated at 11-14-2022 20:55,232,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),367,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),143,REP,522,1.72,70.31,0.57,27.39,DEM,Charlie Crist (DEM),224,42.91,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,894,Majority White,Heavily Democrat,52.2,18.6,27.5,67.9,12.5,13.8,5.8
Last updated at 11-14-2022 20:55,233,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),419,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),255,REP,681,0.88,61.53,0.15,37.44,DEM,Charlie Crist (DEM),164,24.08,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1269,Majority White,Other,46.2,21.7,29.6,56.9,13.4,20.8,8.9
Last updated at 11-14-2022 20:55,234,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),366,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),145,REP,516,0.97,70.93,0.0,28.1,DEM,Charlie Crist (DEM),221,42.83,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1188,Other,Heavily Democrat,53.6,17.2,27.7,39.6,27.5,24.2,8.8
Last updated at 11-14-2022 20:55,237,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),681,DEM,Hector Roos (LPF),10,LPF,Ron DeSantis (REP),399,REP,1093,0.27,62.31,0.91,36.51,DEM,Charlie Crist (DEM),282,25.8,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1626,Majority White,Other,47.5,24.8,24.9,78.8,4.4,10.0,6.8
Last updated at 11-14-2022 20:55,238,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),397,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),172,REP,572,0.0,69.41,0.52,30.07,DEM,Charlie Crist (DEM),225,39.34,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,801,Majority White,Heavily Democrat,52.8,22.0,23.2,81.6,3.9,8.9,5.6
Last updated at 11-14-2022 20:55,239,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),541,DEM,Hector Roos (LPF),12,LPF,Ron DeSantis (REP),590,REP,1154,0.95,46.88,1.04,51.13,REP,Ron DeSantis (REP),49,4.25,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2593,Other,Other,41.2,26.0,31.2,37.9,10.0,42.7,9.4
Last updated at 11-14-2022 20:55,240,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),736,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),788,REP,1534,0.46,47.98,0.2,51.37,REP,Ron DeSantis (REP),52,3.39,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3315,Other,Other,42.5,25.4,30.3,43.4,6.8,40.1,9.7
Last updated at 11-14-2022 20:55,241,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),110,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),54,REP,176,2.84,62.5,3.98,30.68,DEM,Charlie Crist (DEM),56,31.82,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,355,Majority Hispanic,Heavily Democrat,59.2,14.6,25.9,8.2,33.0,54.6,4.2
Last updated at 11-14-2022 20:55,243,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),536,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),493,REP,1045,1.05,51.29,0.48,47.18,DEM,Charlie Crist (DEM),43,4.11,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3004,Other,Other,43.9,19.5,35.0,33.0,15.9,40.4,10.7
Last updated at 11-14-2022 20:55,245,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),489,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),487,REP,992,1.11,49.29,0.5,49.09,DEM,Charlie Crist (DEM),2,0.2,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2008,Other,Other,42.3,26.0,30.1,46.4,9.4,34.5,9.7
Last updated at 11-14-2022 20:55,246,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),11,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),10,REP,21,0.0,52.38,0.0,47.62,DEM,Charlie Crist (DEM),1,4.76,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,57,Majority White,Other,38.6,28.1,33.3,57.9,17.5,19.3,5.3
Last updated at 11-14-2022 20:55,247,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),161,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),95,REP,260,0.77,61.92,0.77,36.54,DEM,Charlie Crist (DEM),66,25.38,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,815,Other,Heavily Democrat,50.7,15.3,33.4,26.6,32.0,32.4,9.0
Last updated at 11-14-2022 20:55,248,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),2,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),0,REP,2,0.0,100.0,0.0,0.0,DEM,Charlie Crist (DEM),2,100.0,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,14,Other,Heavily Democrat,64.3,0.0,35.7,42.9,35.7,7.1,14.3
Last updated at 11-14-2022 20:55,249,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),722,DEM,Hector Roos (LPF),9,LPF,Ron DeSantis (REP),890,REP,1628,0.43,44.35,0.55,54.67,REP,Ron DeSantis (REP),168,10.32,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2755,Majority White,Other,36.5,32.6,29.4,67.8,4.9,19.3,8.0
Last updated at 11-14-2022 20:55,250,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),119,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),129,REP,250,0.8,47.6,0.0,51.6,REP,Ron DeSantis (REP),10,4.0,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,536,Majority White,Other,41.0,28.0,29.7,55.6,16.4,20.3,7.6
Last updated at 11-14-2022 20:55,301,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),188,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),176,REP,370,1.35,50.81,0.27,47.57,DEM,Charlie Crist (DEM),12,3.24,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,940,Other,Other,45.4,20.0,33.4,36.4,10.6,44.0,8.9
Last updated at 11-14-2022 20:55,303,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),55,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),14,REP,69,0.0,79.71,0.0,20.29,DEM,Charlie Crist (DEM),41,59.42,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,226,Majority Black,Heavily Democrat,67.7,8.4,22.6,20.8,54.4,11.9,12.8
Last updated at 11-14-2022 20:55,304,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),249,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),91,REP,346,1.45,71.97,0.29,26.3,DEM,Charlie Crist (DEM),158,45.66,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,709,Other,Heavily Democrat,58.7,14.4,25.5,21.6,40.2,29.9,8.3
Last updated at 11-14-2022 20:55,305,Carmen Jackie Gimenez (NPA),20,NPA,Charlie Crist (DEM),1423,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),359,REP,1806,1.11,78.79,0.22,19.88,DEM,Charlie Crist (DEM),1064,58.91,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,4832,Other,Heavily Democrat,63.6,10.3,24.4,28.2,49.6,13.6,8.5
Last updated at 11-14-2022 20:55,307,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),92,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),65,REP,161,0.62,57.14,1.86,40.37,DEM,Charlie Crist (DEM),27,16.77,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,550,Other,Heavily Democrat,54.9,16.7,27.3,34.4,36.7,20.4,8.5
Last updated at 11-14-2022 20:55,308,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),580,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),104,REP,694,0.72,83.57,0.72,14.99,DEM,Charlie Crist (DEM),476,68.59,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2281,Majority Black,Heavily Democrat,66.6,7.1,24.7,11.7,68.6,11.0,8.7
Last updated at 11-14-2022 20:55,309,Carmen Jackie Gimenez (NPA),17,NPA,Charlie Crist (DEM),985,DEM,Hector Roos (LPF),12,LPF,Ron DeSantis (REP),101,REP,1115,1.52,88.34,1.08,9.06,DEM,Charlie Crist (DEM),884,79.28,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3294,Majority Black,Heavily Democrat,73.5,4.4,21.1,9.3,76.3,6.9,7.5
Last updated at 11-14-2022 20:55,317,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),696,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),221,REP,927,0.86,75.08,0.22,23.84,DEM,Charlie Crist (DEM),475,51.24,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2524,Other,Heavily Democrat,61.7,10.0,26.9,25.4,43.9,22.3,8.4
Last updated at 11-14-2022 20:55,318,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),335,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),111,REP,450,0.44,74.44,0.44,24.67,DEM,Charlie Crist (DEM),224,49.78,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,739,Majority White,Heavily Democrat,56.7,17.7,24.6,70.8,12.2,9.5,7.6
Last updated at 11-14-2022 20:55,319,Carmen Jackie Gimenez (NPA),13,NPA,Charlie Crist (DEM),829,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),297,REP,1144,1.14,72.47,0.44,25.96,DEM,Charlie Crist (DEM),532,46.5,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2426,Other,Heavily Democrat,56.0,13.9,28.3,47.5,28.2,14.9,9.5
Last updated at 11-14-2022 20:55,320,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),288,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),109,REP,408,1.47,70.59,1.23,26.72,DEM,Charlie Crist (DEM),179,43.87,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,818,Other,Heavily Democrat,57.8,13.9,26.2,45.0,28.5,17.0,9.5
Last updated at 11-14-2022 20:55,321,Carmen Jackie Gimenez (NPA),17,NPA,Charlie Crist (DEM),1094,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),147,REP,1264,1.34,86.55,0.47,11.63,DEM,Charlie Crist (DEM),947,74.92,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3739,Majority Black,Heavily Democrat,71.8,5.6,21.6,10.2,70.8,9.8,9.1
Last updated at 11-14-2022 20:55,325,Carmen Jackie Gimenez (NPA),16,NPA,Charlie Crist (DEM),1088,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),97,REP,1205,1.33,90.29,0.33,8.05,DEM,Charlie Crist (DEM),991,82.24,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3587,Majority Black,Heavily Democrat,74.7,4.0,20.7,4.2,78.5,9.1,8.2
Last updated at 11-14-2022 20:55,327,Carmen Jackie Gimenez (NPA),17,NPA,Charlie Crist (DEM),1051,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),191,REP,1262,1.35,83.28,0.24,15.13,DEM,Charlie Crist (DEM),860,68.15,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3868,Majority Black,Heavily Democrat,71.1,5.9,22.2,9.7,69.3,12.6,8.5
Last updated at 11-14-2022 20:55,329,Carmen Jackie Gimenez (NPA),21,NPA,Charlie Crist (DEM),1239,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),239,REP,1500,1.4,82.6,0.07,15.93,DEM,Charlie Crist (DEM),1000,66.67,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3535,Majority Black,Heavily Democrat,68.9,8.8,21.2,18.6,60.4,11.9,9.0
Last updated at 11-14-2022 20:55,332,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),69,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),28,REP,100,2.0,69.0,1.0,28.0,DEM,Charlie Crist (DEM),41,41.0,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,201,Majority White,Other,48.8,18.4,27.9,54.7,22.4,15.4,7.5
Last updated at 11-14-2022 20:55,333,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),530,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),212,REP,752,0.66,70.48,0.66,28.19,DEM,Charlie Crist (DEM),318,42.29,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1294,Majority White,Heavily Democrat,52.1,19.9,26.2,64.7,13.2,14.1,8.0
Last updated at 11-14-2022 20:55,334,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),42,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),23,REP,65,0.0,64.62,0.0,35.38,DEM,Charlie Crist (DEM),19,29.23,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,111,Majority White,Other,48.6,19.8,29.7,68.5,13.5,9.9,8.1
Last updated at 11-14-2022 20:55,335,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),557,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),224,REP,791,0.88,70.42,0.38,28.32,DEM,Charlie Crist (DEM),333,42.1,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1349,Majority White,Heavily Democrat,54.7,17.0,25.9,67.8,11.4,13.4,7.4
Last updated at 11-14-2022 20:55,336,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),11,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),15,REP,26,0.0,42.31,0.0,57.69,REP,Ron DeSantis (REP),4,15.38,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,94,Other,Other,42.6,24.5,29.8,30.9,25.5,34.0,9.6
Last updated at 11-14-2022 20:55,338,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),226,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),90,REP,325,2.15,69.54,0.62,27.69,DEM,Charlie Crist (DEM),136,41.85,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1432,Majority Black,Heavily Democrat,60.1,10.8,28.0,13.7,52.7,24.5,9.1
Last updated at 11-14-2022 20:55,339,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),417,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),199,REP,624,0.8,66.83,0.48,31.89,DEM,Charlie Crist (DEM),218,34.94,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1646,Other,Heavily Democrat,57.8,13.3,27.6,24.3,45.0,20.3,10.4
Last updated at 11-14-2022 20:55,340,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),156,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),58,REP,222,2.25,70.27,1.35,26.13,DEM,Charlie Crist (DEM),98,44.14,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,662,Majority Black,Heavily Democrat,63.3,11.8,24.2,19.2,53.2,20.2,7.4
Last updated at 11-14-2022 20:55,341,Carmen Jackie Gimenez (NPA),14,NPA,Charlie Crist (DEM),1007,DEM,Hector Roos (LPF),10,LPF,Ron DeSantis (REP),356,REP,1387,1.01,72.6,0.72,25.67,DEM,Charlie Crist (DEM),651,46.94,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3897,Majority Black,Heavily Democrat,58.8,11.6,28.1,22.4,51.1,17.5,9.1
Last updated at 11-14-2022 20:55,342,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),799,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),368,REP,1185,0.84,67.43,0.68,31.05,DEM,Charlie Crist (DEM),431,36.37,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2999,Other,Heavily Democrat,55.2,13.8,29.6,26.2,37.7,26.0,10.0
Last updated at 11-14-2022 20:55,343,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),465,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),252,REP,723,0.55,64.32,0.28,34.85,DEM,Charlie Crist (DEM),213,29.46,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1864,Other,Other,48.5,17.9,31.2,41.3,28.8,17.8,12.1
Last updated at 11-14-2022 20:55,344,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),649,DEM,Hector Roos (LPF),8,LPF,Ron DeSantis (REP),207,REP,875,1.26,74.17,0.91,23.66,DEM,Charlie Crist (DEM),442,50.51,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3340,Majority Black,Heavily Democrat,61.4,8.0,29.1,18.7,53.4,19.1,8.8
Last updated at 11-14-2022 20:55,345,Carmen Jackie Gimenez (NPA),16,NPA,Charlie Crist (DEM),578,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),393,REP,990,1.62,58.38,0.3,39.7,DEM,Charlie Crist (DEM),185,18.69,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2994,Other,Heavily Democrat,52.3,15.2,31.5,27.4,32.0,30.3,10.4
Last updated at 11-14-2022 20:55,346,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),6,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),2,REP,8,0.0,75.0,0.0,25.0,DEM,Charlie Crist (DEM),4,50.0,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,43,Other,Other,37.2,16.3,37.2,39.5,23.3,23.3,14.0
Last updated at 11-14-2022 20:55,347,Carmen Jackie Gimenez (NPA),12,NPA,Charlie Crist (DEM),647,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),279,REP,941,1.28,68.76,0.32,29.65,DEM,Charlie Crist (DEM),368,39.11,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2927,Other,Heavily Democrat,58.6,12.3,28.1,21.3,41.5,28.0,9.2
Last updated at 11-14-2022 20:55,348,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),71,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),44,REP,121,3.31,58.68,1.65,36.36,DEM,Charlie Crist (DEM),27,22.31,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,364,Other,Heavily Democrat,56.3,11.5,31.6,21.7,37.1,35.2,6.0
Last updated at 11-14-2022 20:55,353,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),224,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),61,REP,295,2.03,75.93,1.36,20.68,DEM,Charlie Crist (DEM),163,55.25,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,383,Other,Heavily Democrat,51.4,15.9,31.1,41.5,19.6,15.9,23.0
Last updated at 11-14-2022 20:55,354,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),122,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),63,REP,186,0.54,65.59,0.0,33.87,DEM,Charlie Crist (DEM),59,31.72,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,532,Other,Heavily Democrat,54.1,14.3,31.0,20.5,39.7,29.3,10.5
Last updated at 11-14-2022 20:55,355,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),163,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),102,REP,267,0.37,61.05,0.37,38.2,DEM,Charlie Crist (DEM),61,22.85,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,640,Majority White,Other,43.3,18.3,35.8,54.2,18.6,13.6,13.6
Last updated at 11-14-2022 20:55,356,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),104,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),26,REP,131,0.76,79.39,0.0,19.85,DEM,Charlie Crist (DEM),78,59.54,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,471,Other,Heavily Democrat,54.4,10.6,32.5,30.4,40.3,21.2,8.1
Last updated at 11-14-2022 20:55,357,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),526,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),522,REP,1059,0.76,49.67,0.28,49.29,DEM,Charlie Crist (DEM),4,0.38,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,1891,Majority White,Other,36.6,31.8,29.1,61.9,15.7,10.4,12.0
Last updated at 11-14-2022 20:55,358,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),1142,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),967,REP,2120,0.28,53.87,0.24,45.61,DEM,Charlie Crist (DEM),175,8.25,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,3401,Majority White,Other,37.9,29.8,30.2,64.2,10.5,11.9,13.3
Last updated at 11-14-2022 20:55,359,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),703,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),646,REP,1364,0.81,51.54,0.29,47.36,DEM,Charlie Crist (DEM),57,4.18,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2560,Majority White,Other,37.6,26.2,34.1,52.9,15.0,10.5,21.5
Last updated at 11-14-2022 20:55,360,Carmen Jackie Gimenez (NPA),16,NPA,Charlie Crist (DEM),605,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),640,REP,1263,1.27,47.9,0.16,50.67,REP,Ron DeSantis (REP),35,2.77,483413,0.54,44.95,0.34,54.18,REP,Ron DeSantis (REP),44622,9.23,54.18,DEM,Charlie Crist (DEM),44.95,2030,Other,Other,32.5,23.9,42.2,35.8,12.7,5.7,45.8
