LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,CANDIDATE_NAME_5,VOTES_WON_5,CANDIDATE_PARTY_5,CANDIDATE_NAME_6,VOTES_WON_6,CANDIDATE_PARTY_6,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,VOTE_SHARE_5,VOTE_SHARE_6,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_VOTE_SHARE_5,CT_VOTE_SHARE_6,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,WINNER_CANDIDATE_16,WINNER_PARTY_16,MARGIN_PERCENTPOINTS_16,VOTE_SHARE_WINNER_16,WINNER_TEXT_16,CT_WINNER_CANDIDATE_16,CT_WINNER_PARTY_16,CT_WINNER_TEXT_16,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
Last updated at 02-14-2023 03:17,230,Dennis Misigoy (LPF),5,LPF,Marco Rubio (REP),551,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),532,DEM,Write-In (OTHER),0,OTHER,1093,0.46,50.41,0.27,0.18,48.67,0.0,REP,Marco Rubio (REP),19,1.74,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,27.68,62.92,Patrick Murphy (DEM) won with 62.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Lake Stevens Middle School,2699,Majority Hispanic,Other,40.9,26,5.3,20.7,65.7,8.2,Unincorporated M-D
Last updated at 02-14-2023 03:17,231,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),564,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),356,DEM,Write-In (OTHER),0,OTHER,927,0.22,60.84,0.32,0.22,38.4,0.0,REP,Marco Rubio (REP),208,22.44,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,9.17,53.35,Patrick Murphy (DEM) won with 53.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Global Church,2250,Majority Hispanic,Other,34,33.9,5.8,14,73.4,6.8,Unincorporated M-D
Last updated at 02-14-2023 03:17,232,Dennis Misigoy (LPF),3,LPF,Marco Rubio (REP),422,REP,Steven B. Grant (NPA),2,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),469,DEM,Write-In (OTHER),0,OTHER,898,0.33,46.99,0.22,0.22,52.23,0.0,DEM,Val Demings (DEM),47,5.23,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,35.43,66.53,Patrick Murphy (DEM) won with 66.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Glade Elementary School,2275,Majority Hispanic,Other,44.7,23.9,3.8,26.2,64,5.9,Unincorporated M-D
Last updated at 02-14-2023 03:17,233,Dennis Misigoy (LPF),4,LPF,Marco Rubio (REP),318,REP,Steven B. Grant (NPA),2,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),453,DEM,Write-In (OTHER),0,OTHER,778,0.51,40.87,0.26,0.13,58.23,0.0,DEM,Val Demings (DEM),135,17.35,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,50.96,74.08,Patrick Murphy (DEM) won with 74.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Florida Memorial University,2484,Majority Hispanic,Heavily Democrat,51,17.7,3.7,37.4,50.5,8.5,Miami Gardens
Last updated at 02-14-2023 03:17,234,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),86,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),255,DEM,Write-In (OTHER),0,OTHER,346,0.58,24.86,0.87,0.0,73.7,0.0,DEM,Val Demings (DEM),169,48.84,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,74.07,85.97,Patrick Murphy (DEM) won with 86% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Mount Zion African Methodist Episcopal Church,914,Majority Black,Heavily Democrat,65.2,11.1,2.1,64.7,25.5,7.8,Miami Gardens
Last updated at 02-14-2023 03:17,235,Dennis Misigoy (LPF),1,LPF,Marco Rubio (REP),93,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),159,DEM,Write-In (OTHER),0,OTHER,256,0.39,36.33,1.17,0.0,62.11,0.0,DEM,Val Demings (DEM),66,25.78,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,48.51,72.34,Patrick Murphy (DEM) won with 72.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Opa-Locka UTD Methodist Church,848,Majority Hispanic,Other,47.8,17.9,3.5,29.1,61.9,5.4,Opa Locka
Last updated at 02-14-2023 03:17,236,Dennis Misigoy (LPF),3,LPF,Marco Rubio (REP),120,REP,Steven B. Grant (NPA),8,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),359,DEM,Write-In (OTHER),0,OTHER,491,0.61,24.44,1.63,0.2,73.12,0.0,DEM,Val Demings (DEM),239,48.68,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,70.99,83.79,Patrick Murphy (DEM) won with 83.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Westview Baptist Church,1922,Majority Black,Heavily Democrat,66.6,11.6,1.1,64.5,28.5,5.9,Opa Locka
Last updated at 02-14-2023 03:17,237,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),92,REP,Steven B. Grant (NPA),2,NPA,Tuan TQ Nguyen (NPA),3,NPA,Val Demings (DEM),459,DEM,Write-In (OTHER),0,OTHER,558,0.36,16.49,0.36,0.54,82.26,0.0,DEM,Val Demings (DEM),367,65.77,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,76.66,87.06,Patrick Murphy (DEM) won with 87.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Nathan B. Young Elementary School,1453,Majority Black,Heavily Democrat,69.6,8,1.4,67.9,25.1,5.6,Opa Locka
Last updated at 02-14-2023 03:17,238,Dennis Misigoy (LPF),6,LPF,Marco Rubio (REP),43,REP,Steven B. Grant (NPA),0,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),402,DEM,Write-In (OTHER),0,OTHER,451,1.33,9.53,0.0,0.0,89.14,0.0,DEM,Val Demings (DEM),359,79.6,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,72.81,84.99,Patrick Murphy (DEM) won with 85% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Faith Community Baptist Church,1241,Majority Black,Heavily Democrat,72.9,5.1,1.6,75,16,7.3,Unincorporated M-D
Last updated at 02-14-2023 03:17,239,Dennis Misigoy (LPF),5,LPF,Marco Rubio (REP),149,REP,Steven B. Grant (NPA),6,NPA,Tuan TQ Nguyen (NPA),4,NPA,Val Demings (DEM),1011,DEM,Write-In (OTHER),0,OTHER,1175,0.43,12.68,0.51,0.34,86.04,0.0,DEM,Val Demings (DEM),862,73.36,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,77.49,87.56,Patrick Murphy (DEM) won with 87.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Mount Olives Church of God,2985,Majority Black,Heavily Democrat,70.4,6.5,3.7,77.5,12.9,6,Unincorporated M-D
Last updated at 02-14-2023 03:17,240,Dennis Misigoy (LPF),7,LPF,Marco Rubio (REP),158,REP,Steven B. Grant (NPA),5,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),966,DEM,Write-In (OTHER),0,OTHER,1137,0.62,13.9,0.44,0.09,84.96,0.0,DEM,Val Demings (DEM),808,71.06,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,77.31,87.76,Patrick Murphy (DEM) won with 87.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Carrie P. Meek Elementary School,2833,Majority Black,Heavily Democrat,70.4,7.6,1.6,70.9,21.6,6,Unincorporated M-D
Last updated at 02-14-2023 03:17,241,Dennis Misigoy (LPF),8,LPF,Marco Rubio (REP),231,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),4,NPA,Val Demings (DEM),767,DEM,Write-In (OTHER),0,OTHER,1013,0.79,22.8,0.3,0.39,75.72,0.0,DEM,Val Demings (DEM),536,52.91,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,67.9,82.77,Patrick Murphy (DEM) won with 82.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Henry E.S. Reeves K-8 Center Primary Academy,2720,Majority Black,Heavily Democrat,65.3,11.8,2.1,56.3,36,5.6,Unincorporated M-D
Last updated at 02-14-2023 03:17,242,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),197,REP,Steven B. Grant (NPA),4,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),918,DEM,Write-In (OTHER),1,OTHER,1122,0.18,17.56,0.36,0.0,81.82,0.09,DEM,Val Demings (DEM),721,64.26,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,72.19,85.09,Patrick Murphy (DEM) won with 85.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Lakeview Elementary School,3021,Majority Black,Heavily Democrat,67.6,8.2,2.1,67.7,22.7,7.5,Unincorporated M-D
Last updated at 02-14-2023 03:17,243,Dennis Misigoy (LPF),1,LPF,Marco Rubio (REP),32,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),231,DEM,Write-In (OTHER),0,OTHER,267,0.37,11.99,1.12,0.0,86.52,0.0,DEM,Val Demings (DEM),199,74.53,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,77.95,87.6,Patrick Murphy (DEM) won with 87.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Faith Community Baptist Church,1017,Majority Black,Heavily Democrat,70.7,5.6,2.9,76.2,15.3,5.5,Unincorporated M-D
Last updated at 02-14-2023 03:17,244,Dennis Misigoy (LPF),5,LPF,Marco Rubio (REP),123,REP,Steven B. Grant (NPA),6,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),762,DEM,Write-In (OTHER),1,OTHER,898,0.56,13.7,0.67,0.11,84.86,0.11,DEM,Val Demings (DEM),639,71.16,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,74.19,85.79,Patrick Murphy (DEM) won with 85.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Twin Lakes Apartments,2607,Majority Black,Heavily Democrat,68.8,7.8,2.5,63.4,27.6,6.4,Unincorporated M-D
Last updated at 02-14-2023 03:17,245,Dennis Misigoy (LPF),3,LPF,Marco Rubio (REP),122,REP,Steven B. Grant (NPA),6,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),517,DEM,Write-In (OTHER),0,OTHER,649,0.46,18.8,0.92,0.15,79.66,0.0,DEM,Val Demings (DEM),395,60.86,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,71.46,84.34,Patrick Murphy (DEM) won with 84.3% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Bible Baptist Church,1791,Majority Black,Heavily Democrat,67.4,9.7,1.8,61.9,30.2,6,Unincorporated M-D
Last updated at 02-14-2023 03:17,246,Dennis Misigoy (LPF),3,LPF,Marco Rubio (REP),587,REP,Steven B. Grant (NPA),4,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),371,DEM,Write-In (OTHER),0,OTHER,967,0.31,60.7,0.41,0.21,38.37,0.0,REP,Marco Rubio (REP),216,22.34,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,13.9,55.99,Patrick Murphy (DEM) won with 56% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Mount Zion Apostolic Temple,2982,Majority Hispanic,Other,36.5,29.6,4.1,11.2,77.7,7,Unincorporated M-D
Last updated at 02-14-2023 03:17,247,Dennis Misigoy (LPF),1,LPF,Marco Rubio (REP),215,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),289,DEM,Write-In (OTHER),0,OTHER,508,0.2,42.32,0.59,0.0,56.89,0.0,DEM,Val Demings (DEM),74,14.57,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,39.22,68.81,Patrick Murphy (DEM) won with 68.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Madison Middle School,1361,Majority Hispanic,Other,48.6,21.2,3.5,27,63.1,6.3,Unincorporated M-D
Last updated at 02-14-2023 03:17,248,Dennis Misigoy (LPF),5,LPF,Marco Rubio (REP),362,REP,Steven B. Grant (NPA),4,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),577,DEM,Write-In (OTHER),0,OTHER,949,0.53,38.15,0.42,0.11,60.8,0.0,DEM,Val Demings (DEM),215,22.66,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,51.48,74.23,Patrick Murphy (DEM) won with 74.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,North Central Branch Library,2970,Majority Hispanic,Heavily Democrat,54.8,16.9,2.4,39.5,51.8,6.3,Unincorporated M-D
Last updated at 02-14-2023 03:17,249,Dennis Misigoy (LPF),6,LPF,Marco Rubio (REP),154,REP,Steven B. Grant (NPA),10,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),691,DEM,Write-In (OTHER),0,OTHER,861,0.7,17.89,1.16,0.0,80.26,0.0,DEM,Val Demings (DEM),537,62.37,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,70.96,84.65,Patrick Murphy (DEM) won with 84.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,West Little River Park,2211,Majority Black,Heavily Democrat,67.1,11.6,2.4,63,29.6,5.1,Unincorporated M-D
Last updated at 02-14-2023 03:17,250,Dennis Misigoy (LPF),3,LPF,Marco Rubio (REP),113,REP,Steven B. Grant (NPA),7,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),851,DEM,Write-In (OTHER),0,OTHER,974,0.31,11.6,0.72,0.0,87.37,0.0,DEM,Val Demings (DEM),738,75.77,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,81.87,89.95,Patrick Murphy (DEM) won with 89.9% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Mt Carmel Missionary Baptist Church,2632,Majority Black,Heavily Democrat,74.1,6.4,0.9,73.2,20.3,5.6,Unincorporated M-D
Last updated at 02-14-2023 03:17,251,Dennis Misigoy (LPF),7,LPF,Marco Rubio (REP),93,REP,Steven B. Grant (NPA),5,NPA,Tuan TQ Nguyen (NPA),4,NPA,Val Demings (DEM),978,DEM,Write-In (OTHER),1,OTHER,1088,0.64,8.55,0.46,0.37,89.89,0.09,DEM,Val Demings (DEM),885,81.34,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,83.1,90.71,Patrick Murphy (DEM) won with 90.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Arcola Lakes Community Park,2761,Majority Black,Heavily Democrat,75.3,5.4,1.8,74.5,18.9,4.8,Unincorporated M-D
Last updated at 02-14-2023 03:17,253,Dennis Misigoy (LPF),1,LPF,Marco Rubio (REP),56,REP,Steven B. Grant (NPA),6,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),500,DEM,Write-In (OTHER),0,OTHER,564,0.18,9.93,1.06,0.18,88.65,0.0,DEM,Val Demings (DEM),444,78.72,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,80.79,89.81,Patrick Murphy (DEM) won with 89.8% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Palm Court Apartments,1270,Majority Black,Heavily Democrat,76.9,6.1,2.3,76.2,15.5,6,Unincorporated M-D
Last updated at 02-14-2023 03:17,254,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),84,REP,Steven B. Grant (NPA),7,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),691,DEM,Write-In (OTHER),1,OTHER,787,0.25,10.67,0.89,0.25,87.8,0.13,DEM,Val Demings (DEM),607,77.13,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,80.81,89.38,Patrick Murphy (DEM) won with 89.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,The Highway Church of Apostle's Faith,2478,Majority Black,Heavily Democrat,74.7,5.4,1.5,74.9,17.4,6.3,Unincorporated M-D
Last updated at 02-14-2023 03:17,256,Dennis Misigoy (LPF),3,LPF,Marco Rubio (REP),203,REP,Steven B. Grant (NPA),4,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),834,DEM,Write-In (OTHER),1,OTHER,1045,0.29,19.43,0.38,0.0,79.81,0.1,DEM,Val Demings (DEM),631,60.38,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,68.85,83.48,Patrick Murphy (DEM) won with 83.5% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Robert Sharp Towers #1,2356,Majority Black,Heavily Democrat,67.7,10,5.8,61.6,22.5,10.1,Miami Gardens
Last updated at 02-14-2023 03:17,257,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),58,REP,Steven B. Grant (NPA),4,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),582,DEM,Write-In (OTHER),0,OTHER,647,0.31,8.96,0.62,0.15,89.95,0.0,DEM,Val Demings (DEM),524,80.99,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,82.27,89.58,Patrick Murphy (DEM) won with 89.6% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Saint James AME Church,2402,Majority Black,Heavily Democrat,77,4.3,1.2,79.6,13.8,5.4,Unincorporated M-D
Last updated at 02-14-2023 03:17,258,Dennis Misigoy (LPF),0,LPF,Marco Rubio (REP),37,REP,Steven B. Grant (NPA),1,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),319,DEM,Write-In (OTHER),1,OTHER,358,0.0,10.34,0.28,0.0,89.11,0.28,DEM,Val Demings (DEM),282,78.77,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,81.71,90.12,Patrick Murphy (DEM) won with 90.1% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,NFL Yet Center/Gwen Cherry Park,1138,Majority Black,Heavily Democrat,73.6,6,1.1,72.6,20.1,6.2,Unincorporated M-D
Last updated at 02-14-2023 03:17,259,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),165,REP,Steven B. Grant (NPA),2,NPA,Tuan TQ Nguyen (NPA),1,NPA,Val Demings (DEM),489,DEM,Write-In (OTHER),0,OTHER,659,0.3,25.04,0.3,0.15,74.2,0.0,DEM,Val Demings (DEM),324,49.17,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,73.01,85.98,Patrick Murphy (DEM) won with 86% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Dayspring Missionary Baptist Church,1770,Majority Black,Heavily Democrat,66.2,12.2,2.2,55.5,37.1,5.3,Unincorporated M-D
Last updated at 02-14-2023 03:17,260,Dennis Misigoy (LPF),1,LPF,Marco Rubio (REP),56,REP,Steven B. Grant (NPA),8,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),263,DEM,Write-In (OTHER),0,OTHER,328,0.3,17.07,2.44,0.0,80.18,0.0,DEM,Val Demings (DEM),207,63.11,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,74.13,85.66,Patrick Murphy (DEM) won with 85.7% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Dr. M. L. King Jr Memorial Park,897,Majority Black,Heavily Democrat,69.5,7.6,1.3,63.1,29.4,6.1,Unincorporated M-D
Last updated at 02-14-2023 03:17,261,Dennis Misigoy (LPF),2,LPF,Marco Rubio (REP),82,REP,Steven B. Grant (NPA),4,NPA,Tuan TQ Nguyen (NPA),0,NPA,Val Demings (DEM),583,DEM,Write-In (OTHER),0,OTHER,671,0.3,12.22,0.6,0.0,86.89,0.0,DEM,Val Demings (DEM),501,74.66,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,81.8,90.16,Patrick Murphy (DEM) won with 90.2% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Agenoria S. Paschal/Olinda Elementary School,2305,Majority Black,Heavily Democrat,74.7,6.6,1.3,74,18.8,5.9,Unincorporated M-D
Last updated at 02-14-2023 03:17,262,Dennis Misigoy (LPF),4,LPF,Marco Rubio (REP),147,REP,Steven B. Grant (NPA),3,NPA,Tuan TQ Nguyen (NPA),2,NPA,Val Demings (DEM),509,DEM,Write-In (OTHER),0,OTHER,665,0.6,22.11,0.45,0.3,76.54,0.0,DEM,Val Demings (DEM),362,54.44,712005,0.36,54.25,0.37,0.18,44.8,0.04,REP,Marco Rubio (REP),67273,9.45,54.25,DEM,Val Demings (DEM),44.8,Patrick Murphy (DEM),DEM,71.18,84.35,Patrick Murphy (DEM) won with 84.4% of votes in 2016.,Patrick Murphy (DEM),DEM,Patrick Murphy (DEM) won Miami-Dade county with 54.5% votes in 2016.,Mildred & Claude Pepper Towers,1760,Majority Black,Heavily Democrat,69.9,10.1,1,67.4,27,4.6,Unincorporated M-D
