LAST_UPDATE_2022,COUNTY,CANDIDATE_NAME_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,CANDIDATE_PARTY_4,VOTES_WON_1,VOTES_WON_2,VOTES_WON_3,VOTES_WON_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,ST_TOTAL_VOTES_TALLIED,ST_VOTE_SHARE_1,ST_VOTE_SHARE_2,ST_VOTE_SHARE_3,ST_VOTE_SHARE_4,ST_LEAD_PARTY,ST_LEAD_CANDIDATE,ST_RAW_MARGIN,ST_MARGIN_PERCENTPOINTS,ST_LEAD_VOTESHARE,ST_SECOND_PARTY,ST_SECOND_CANDIDATE,ST_SECOND_VOTESHARE,FIPS,WINNER_PARTY_18,WINNER_CANDIDATE_18,VOTE_SHARE_WINNER_18,MARGIN_PERCENTPOINTS_18,ST_WINNER_CANDIDATE_18,ST_WINNER_VOTESHARE_18,ST_MARGIN_PERCENTPOINTS_18,ST_WINNER_PARTY_18
Last updated at 11-13-2022 21:21,Okeechobee,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,8737,2077,18,43,10875,80.34,19.1,0.17,0.4,REP,DeSantis/Nuñez (REP),6660,61.24,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12093,REP,Ron DeSantis (REP),68.8,39.4,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Orange,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,187213,215803,1211,2137,406364,46.07,53.11,0.3,0.53,DEM,Crist/Hernandez (DEM),28590,7.04,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12095,DEM,Andrew Gillum (DEM),62.3,25.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Osceola,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,54282,47344,332,775,102733,52.84,46.08,0.32,0.75,REP,DeSantis/Nuñez (REP),6938,6.75,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12097,DEM,Andrew Gillum (DEM),59.7,20.9,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Palm Beach,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,278089,262117,936,1734,542876,51.23,48.28,0.17,0.32,REP,DeSantis/Nuñez (REP),15972,2.94,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12099,DEM,Andrew Gillum (DEM),58.2,17.1,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Pasco,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,147989,75269,644,908,224810,65.83,33.48,0.29,0.4,REP,DeSantis/Nuñez (REP),72720,32.35,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12101,REP,Ron DeSantis (REP),57.2,16.2,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Pinellas,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,231181,189430,1138,1504,423253,54.62,44.76,0.27,0.36,REP,DeSantis/Nuñez (REP),41751,9.86,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12103,DEM,Andrew Gillum (DEM),50.7,3.0,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Polk,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,148108,80076,560,1028,229772,64.46,34.85,0.24,0.45,REP,DeSantis/Nuñez (REP),68032,29.61,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12105,REP,Ron DeSantis (REP),55.9,13.3,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Putnam,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,20212,6188,78,102,26580,76.04,23.28,0.29,0.38,REP,DeSantis/Nuñez (REP),14024,52.76,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12107,REP,Ron DeSantis (REP),66.6,34.6,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Santa Rosa,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,59302,14959,236,265,74762,79.32,20.01,0.32,0.35,REP,DeSantis/Nuñez (REP),44343,59.31,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12113,REP,Ron DeSantis (REP),74.3,50.2,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Sarasota,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,133204,84482,384,542,218612,60.93,38.64,0.18,0.25,REP,DeSantis/Nuñez (REP),48722,22.29,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12115,REP,Ron DeSantis (REP),53.7,8.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Seminole,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,102138,79569,544,798,183049,55.8,43.47,0.3,0.44,REP,DeSantis/Nuñez (REP),22569,12.33,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12117,DEM,Andrew Gillum (DEM),50.3,1.8,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,St. Johns,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,100994,42813,325,384,144516,69.88,29.63,0.22,0.27,REP,DeSantis/Nuñez (REP),58181,40.26,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12109,REP,Ron DeSantis (REP),63.9,28.6,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,St. Lucie,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,72272,48935,199,431,121837,59.32,40.16,0.16,0.35,REP,DeSantis/Nuñez (REP),23337,19.15,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12111,DEM,Andrew Gillum (DEM),51.3,3.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Sumter,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,65478,23709,92,158,89437,73.21,26.51,0.1,0.18,REP,DeSantis/Nuñez (REP),41769,46.7,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12119,REP,Ron DeSantis (REP),69.6,40.2,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Suwannee,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,13635,2649,20,48,16352,83.38,16.2,0.12,0.29,REP,DeSantis/Nuñez (REP),10986,67.18,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12121,REP,Ron DeSantis (REP),76.9,55.2,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Taylor,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,6300,1276,18,20,7614,82.74,16.76,0.24,0.26,REP,DeSantis/Nuñez (REP),5024,65.98,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12123,REP,Ron DeSantis (REP),74.8,51.2,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Union,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,3995,544,9,10,4558,87.65,11.94,0.2,0.22,REP,DeSantis/Nuñez (REP),3451,75.71,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12125,REP,Ron DeSantis (REP),78.9,58.9,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Volusia,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,144389,79776,663,846,225674,63.98,35.35,0.29,0.37,REP,DeSantis/Nuñez (REP),64613,28.63,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12127,REP,Ron DeSantis (REP),54.6,10.7,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Wakulla,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,11028,3914,42,68,15052,73.27,26.0,0.28,0.45,REP,DeSantis/Nuñez (REP),7114,47.26,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12129,REP,Ron DeSantis (REP),68.9,39.4,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Walton,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,28623,6102,60,82,34867,82.09,17.5,0.17,0.24,REP,DeSantis/Nuñez (REP),22521,64.59,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12131,REP,Ron DeSantis (REP),75.6,52.5,Ron DeSantis (REP),49.6,0.4,REP
Last updated at 11-13-2022 21:21,Washington,DeSantis/Nuñez (REP),REP,Crist/Hernandez (DEM),DEM,Roos/Rorabaugh (LPF),LPF,Gimenez/Gibson (NPA),NPA,7786,1285,19,36,9126,85.32,14.08,0.21,0.39,REP,DeSantis/Nuñez (REP),6501,71.24,7761704,59.38,39.96,0.25,0.41,REP,DeSantis/Nuñez (REP),1507029,19.42,59.38,DEM,Crist/Hernandez (DEM),39.96,12133,REP,Ron DeSantis (REP),77.6,57.0,Ron DeSantis (REP),49.6,0.4,REP
