LAST_UPDATE_2022,BASE_PRECINCT,CANDIDATE_NAME_1,VOTES_WON_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,VOTES_WON_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,VOTES_WON_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,VOTES_WON_4,CANDIDATE_PARTY_4,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,CT_TOTAL_VOTES_TALLIED,CT_VOTE_SHARE_1,CT_VOTE_SHARE_2,CT_VOTE_SHARE_3,CT_VOTE_SHARE_4,CT_LEAD_PARTY,CT_LEAD_CANDIDATE,CT_RAW_MARGIN,CT_MARGIN_PERCENTPOINTS,CT_LEAD_VOTESHARE,CT_SECOND_PARTY,CT_SECOND_CANDIDATE,CT_SECOND_VOTESHARE,WINNER_CANDIDATE_18,WINNER_PARTY_18,MARGIN_PERCENTPOINTS_18,VOTE_SHARE_WINNER_18,WINNER_TEXT_18,CT_WINNER_CANDIDATE_18,CT_WINNER_PARTY_18,CT_WINNER_TEXT_18,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
Last updated at 02-13-2023 22:46,234,Carmen Jackie Gimenez (NPA),2,NPA,Charlie Crist (DEM),262,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),80,REP,345,0.58,75.94,0.29,23.19,DEM,Charlie Crist (DEM),182,52.75,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,80.22,90.1,Andrew Gillum (DEM) won with 90.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Mount Zion African Methodist Episcopal Church,914,Majority Black,Heavily Democrat,65.2,11.1,2.1,64.7,25.5,7.8,Miami Gardens
Last updated at 02-13-2023 22:46,235,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),158,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),93,REP,255,1.18,61.96,0.39,36.47,DEM,Charlie Crist (DEM),65,25.49,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,55.23,77.0,Andrew Gillum (DEM) won with 77% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Opa-Locka UTD Methodist Church,848,Majority Hispanic,Other,47.8,17.9,3.5,29.1,61.9,5.4,Opa Locka
Last updated at 02-13-2023 22:46,236,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),349,DEM,Hector Roos (LPF),7,LPF,Ron DeSantis (REP),133,REP,494,1.01,70.65,1.42,26.92,DEM,Charlie Crist (DEM),216,43.72,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,81.85,90.0,Andrew Gillum (DEM) won with 90% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Westview Baptist Church,1922,Majority Black,Heavily Democrat,66.6,11.6,1.1,64.5,28.5,5.9,Opa Locka
Last updated at 02-13-2023 22:46,237,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),447,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),98,REP,558,1.43,80.11,0.9,17.56,DEM,Charlie Crist (DEM),349,62.54,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,85.27,92.4,Andrew Gillum (DEM) won with 92.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Nathan B. Young Elementary School,1453,Majority Black,Heavily Democrat,69.6,8,1.4,67.9,25.1,5.6,Opa Locka
Last updated at 02-13-2023 22:46,238,Carmen Jackie Gimenez (NPA),1,NPA,Charlie Crist (DEM),397,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),48,REP,449,0.22,88.42,0.67,10.69,DEM,Charlie Crist (DEM),349,77.73,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,89.61,94.8,Andrew Gillum (DEM) won with 94.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Faith Community Baptist Church,1241,Majority Black,Heavily Democrat,72.9,5.1,1.6,75,16,7.3,Unincorporated M-D
Last updated at 02-13-2023 22:46,239,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),990,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),185,REP,1185,0.51,83.54,0.34,15.61,DEM,Charlie Crist (DEM),805,67.93,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,89.0,94.3,Andrew Gillum (DEM) won with 94.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Mount Olives Church of God,2985,Majority Black,Heavily Democrat,70.4,6.5,3.7,77.5,12.9,6,Unincorporated M-D
Last updated at 02-13-2023 22:46,240,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),954,DEM,Hector Roos (LPF),4,LPF,Ron DeSantis (REP),167,REP,1131,0.53,84.35,0.35,14.77,DEM,Charlie Crist (DEM),787,69.58,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,89.78,94.5,Andrew Gillum (DEM) won with 94.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Carrie P. Meek Elementary School,2833,Majority Black,Heavily Democrat,70.4,7.6,1.6,70.9,21.6,6,Unincorporated M-D
Last updated at 02-13-2023 22:46,241,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),745,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),247,REP,1008,1.09,73.91,0.5,24.5,DEM,Charlie Crist (DEM),498,49.4,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,78.35,88.8,Andrew Gillum (DEM) won with 88.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Henry E.S. Reeves K-8 Center Primary Academy,2720,Majority Black,Heavily Democrat,65.3,11.8,2.1,56.3,36,5.6,Unincorporated M-D
Last updated at 02-13-2023 22:46,242,Carmen Jackie Gimenez (NPA),13,NPA,Charlie Crist (DEM),901,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),212,REP,1128,1.15,79.88,0.18,18.79,DEM,Charlie Crist (DEM),689,61.08,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,85.27,92.2,Andrew Gillum (DEM) won with 92.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Lakeview Elementary School,3021,Majority Black,Heavily Democrat,67.6,8.2,2.1,67.7,22.7,7.5,Unincorporated M-D
Last updated at 02-13-2023 22:46,243,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),223,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),40,REP,269,1.49,82.9,0.74,14.87,DEM,Charlie Crist (DEM),183,68.03,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,89.29,94.2,Andrew Gillum (DEM) won with 94.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Faith Community Baptist Church,1017,Majority Black,Heavily Democrat,70.7,5.6,2.9,76.2,15.3,5.5,Unincorporated M-D
Last updated at 02-13-2023 22:46,244,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),753,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),141,REP,901,0.55,83.57,0.22,15.65,DEM,Charlie Crist (DEM),612,67.92,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,89.17,94.2,Andrew Gillum (DEM) won with 94.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Twin Lakes Apartments,2607,Majority Black,Heavily Democrat,68.8,7.8,2.5,63.4,27.6,6.4,Unincorporated M-D
Last updated at 02-13-2023 22:46,245,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),508,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),135,REP,650,0.62,78.15,0.46,20.77,DEM,Charlie Crist (DEM),373,57.38,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,83.3,91.3,Andrew Gillum (DEM) won with 91.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Bible Baptist Church,1791,Majority Black,Heavily Democrat,67.4,9.7,1.8,61.9,30.2,6,Unincorporated M-D
Last updated at 02-13-2023 22:46,246,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),370,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),588,REP,968,0.83,38.22,0.21,60.74,REP,Ron DeSantis (REP),218,22.52,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,21.9,60.4,Andrew Gillum (DEM) won with 60.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Mount Zion Apostolic Temple,2982,Majority Hispanic,Other,36.5,29.6,4.1,11.2,77.7,7,Unincorporated M-D
Last updated at 02-13-2023 22:46,247,Carmen Jackie Gimenez (NPA),4,NPA,Charlie Crist (DEM),284,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),219,REP,507,0.79,56.02,0.0,43.2,DEM,Charlie Crist (DEM),65,12.82,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,46.15,72.5,Andrew Gillum (DEM) won with 72.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Madison Middle School,1361,Majority Hispanic,Other,48.6,21.2,3.5,27,63.1,6.3,Unincorporated M-D
Last updated at 02-13-2023 22:46,248,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),577,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),372,REP,954,0.31,60.48,0.21,38.99,DEM,Charlie Crist (DEM),205,21.49,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,63.79,81.4,Andrew Gillum (DEM) won with 81.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Central Branch Library,2970,Majority Hispanic,Heavily Democrat,54.8,16.9,2.4,39.5,51.8,6.3,Unincorporated M-D
Last updated at 02-13-2023 22:46,249,Carmen Jackie Gimenez (NPA),15,NPA,Charlie Crist (DEM),675,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),165,REP,858,1.75,78.67,0.35,19.23,DEM,Charlie Crist (DEM),510,59.44,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,82.62,91.1,Andrew Gillum (DEM) won with 91.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,West Little River Park,2211,Majority Black,Heavily Democrat,67.1,11.6,2.4,63,29.6,5.1,Unincorporated M-D
Last updated at 02-13-2023 22:46,250,Carmen Jackie Gimenez (NPA),14,NPA,Charlie Crist (DEM),834,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),122,REP,970,1.44,85.98,0.0,12.58,DEM,Charlie Crist (DEM),712,73.4,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,92.46,96.0,Andrew Gillum (DEM) won with 96% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Mt Carmel Missionary Baptist Church,2632,Majority Black,Heavily Democrat,74.1,6.4,0.9,73.2,20.3,5.6,Unincorporated M-D
Last updated at 02-13-2023 22:46,251,Carmen Jackie Gimenez (NPA),11,NPA,Charlie Crist (DEM),965,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),106,REP,1087,1.01,88.78,0.46,9.75,DEM,Charlie Crist (DEM),859,79.02,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,92.64,95.8,Andrew Gillum (DEM) won with 95.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Arcola Lakes Community Park,2761,Majority Black,Heavily Democrat,75.3,5.4,1.8,74.5,18.9,4.8,Unincorporated M-D
Last updated at 02-13-2023 22:46,253,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),492,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),60,REP,563,1.42,87.39,0.53,10.66,DEM,Charlie Crist (DEM),432,76.73,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,90.13,94.8,Andrew Gillum (DEM) won with 94.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Palm Court Apartments,1270,Majority Black,Heavily Democrat,76.9,6.1,2.3,76.2,15.5,6,Unincorporated M-D
Last updated at 02-13-2023 22:46,254,Carmen Jackie Gimenez (NPA),10,NPA,Charlie Crist (DEM),677,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),97,REP,787,1.27,86.02,0.38,12.33,DEM,Charlie Crist (DEM),580,73.7,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,93.76,96.6,Andrew Gillum (DEM) won with 96.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,The Highway Church of Apostle's Faith,2478,Majority Black,Heavily Democrat,74.7,5.4,1.5,74.9,17.4,6.3,Unincorporated M-D
Last updated at 02-13-2023 22:46,256,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),824,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),213,REP,1045,0.67,78.85,0.1,20.38,DEM,Charlie Crist (DEM),611,58.47,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,80.27,89.6,Andrew Gillum (DEM) won with 89.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Robert Sharp Towers #1,2356,Majority Black,Heavily Democrat,67.7,10,5.8,61.6,22.5,10.1,Miami Gardens
Last updated at 02-13-2023 22:46,257,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),566,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),69,REP,644,1.09,87.89,0.31,10.71,DEM,Charlie Crist (DEM),497,77.17,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,94.59,97.1,Andrew Gillum (DEM) won with 97.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Saint James AME Church,2402,Majority Black,Heavily Democrat,77,4.3,1.2,79.6,13.8,5.4,Unincorporated M-D
Last updated at 02-13-2023 22:46,258,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),304,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),48,REP,358,0.84,84.92,0.84,13.41,DEM,Charlie Crist (DEM),256,71.51,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,94.65,97.2,Andrew Gillum (DEM) won with 97.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,NFL Yet Center/Gwen Cherry Park,1138,Majority Black,Heavily Democrat,73.6,6,1.1,72.6,20.1,6.2,Unincorporated M-D
Last updated at 02-13-2023 22:46,259,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),482,DEM,Hector Roos (LPF),5,LPF,Ron DeSantis (REP),162,REP,654,0.76,73.7,0.76,24.77,DEM,Charlie Crist (DEM),320,48.93,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,81.95,90.7,Andrew Gillum (DEM) won with 90.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Dayspring Missionary Baptist Church,1770,Majority Black,Heavily Democrat,66.2,12.2,2.2,55.5,37.1,5.3,Unincorporated M-D
Last updated at 02-13-2023 22:46,260,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),262,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),56,REP,326,2.15,80.37,0.31,17.18,DEM,Charlie Crist (DEM),206,63.19,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,83.78,91.7,Andrew Gillum (DEM) won with 91.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Dr. M. L. King Jr Memorial Park,897,Majority Black,Heavily Democrat,69.5,7.6,1.3,63.1,29.4,6.1,Unincorporated M-D
Last updated at 02-13-2023 22:46,261,Carmen Jackie Gimenez (NPA),8,NPA,Charlie Crist (DEM),566,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),96,REP,671,1.19,84.35,0.15,14.31,DEM,Charlie Crist (DEM),470,70.04,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,90.77,95.1,Andrew Gillum (DEM) won with 95.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Agenoria S. Paschal/Olinda Elementary School,2305,Majority Black,Heavily Democrat,74.7,6.6,1.3,74,18.8,5.9,Unincorporated M-D
Last updated at 02-13-2023 22:46,262,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),505,DEM,Hector Roos (LPF),6,LPF,Ron DeSantis (REP),148,REP,664,0.75,76.05,0.9,22.29,DEM,Charlie Crist (DEM),357,53.77,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,82.72,90.9,Andrew Gillum (DEM) won with 90.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Mildred & Claude Pepper Towers,1760,Majority Black,Heavily Democrat,69.9,10.1,1,67.4,27,4.6,Unincorporated M-D
Last updated at 02-13-2023 22:46,264,Carmen Jackie Gimenez (NPA),3,NPA,Charlie Crist (DEM),310,DEM,Hector Roos (LPF),2,LPF,Ron DeSantis (REP),90,REP,405,0.74,76.54,0.49,22.22,DEM,Charlie Crist (DEM),220,54.32,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,84.1,91.7,Andrew Gillum (DEM) won with 91.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Kelsey L. Pharr Elementary School,1451,Majority Black,Heavily Democrat,67.7,8.3,2.5,59.2,33.1,5.2,Unincorporated M-D
Last updated at 02-13-2023 22:46,265,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),30,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),10,REP,40,0.0,75.0,0.0,25.0,DEM,Charlie Crist (DEM),20,50.0,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,74.42,86.0,Andrew Gillum (DEM) won with 86% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Freeman Collins & Raymond Britton Senior Facility,90,Majority Black,Heavily Democrat,58.9,17.8,4.4,57.8,28.9,8.9,Opa Locka
Last updated at 02-13-2023 22:46,266,Carmen Jackie Gimenez (NPA),0,NPA,Charlie Crist (DEM),26,DEM,Hector Roos (LPF),0,LPF,Ron DeSantis (REP),6,REP,32,0.0,81.25,0.0,18.75,DEM,Charlie Crist (DEM),20,62.5,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,61.7,80.9,Andrew Gillum (DEM) won with 80.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Jefferson Reaves Sr. Park,87,Majority Hispanic,Heavily Democrat,59.8,19.5,0,47.1,51.7,1.1,Unincorporated M-D
Last updated at 02-13-2023 22:46,267,Carmen Jackie Gimenez (NPA),7,NPA,Charlie Crist (DEM),321,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),136,REP,465,1.51,69.03,0.22,29.25,DEM,Charlie Crist (DEM),185,39.78,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,74.47,86.6,Andrew Gillum (DEM) won with 86.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Universal Truth Center,1477,Other,Heavily Democrat,59,14.4,2.7,47.9,43.9,5.4,Miami Gardens
Last updated at 02-13-2023 22:46,269,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),533,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),59,REP,602,1.5,88.54,0.17,9.8,DEM,Charlie Crist (DEM),474,78.74,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,95.05,97.2,Andrew Gillum (DEM) won with 97.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Mount Zion African Methodist Episcopal Church,1554,Majority Black,Heavily Democrat,74.8,6.5,0.4,77.3,16.6,5.7,Miami Gardens
Last updated at 02-13-2023 22:46,270,Carmen Jackie Gimenez (NPA),9,NPA,Charlie Crist (DEM),824,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),118,REP,954,0.94,86.37,0.31,12.37,DEM,Charlie Crist (DEM),706,74.0,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,92.08,95.8,Andrew Gillum (DEM) won with 95.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,City of Miami Gardens City Hall,2562,Majority Black,Heavily Democrat,72.3,5.9,1.4,74.4,16.7,7.5,Miami Gardens
Last updated at 02-13-2023 22:46,272,Carmen Jackie Gimenez (NPA),5,NPA,Charlie Crist (DEM),404,DEM,Hector Roos (LPF),3,LPF,Ron DeSantis (REP),516,REP,928,0.54,43.53,0.32,55.6,REP,Ron DeSantis (REP),112,12.07,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,25.81,62.6,Andrew Gillum (DEM) won with 62.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Charles David Wyche Jr Elementary School,2340,Majority Hispanic,Other,36.4,28,5.6,12.9,74.7,6.8,Unincorporated M-D
Last updated at 02-13-2023 22:46,274,Carmen Jackie Gimenez (NPA),6,NPA,Charlie Crist (DEM),402,DEM,Hector Roos (LPF),1,LPF,Ron DeSantis (REP),230,REP,639,0.94,62.91,0.16,35.99,DEM,Charlie Crist (DEM),172,26.92,711851,0.51,43.97,0.24,55.28,REP,Ron DeSantis (REP),80560,11.32,55.28,DEM,Charlie Crist (DEM),43.97,Andrew Gillum (DEM),DEM,66.71,83.3,Andrew Gillum (DEM) won with 83.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Carol City Elementary School,1504,Other,Heavily Democrat,56.6,19,2.9,42.8,47,7.4,Miami Gardens
