BASE_PRECINCT,WINNER_CANDIDATE_18,WINNER_PARTY_18,MARGIN_PERCENTPOINTS_18,VOTE_SHARE_WINNER_18,WINNER_TEXT_18,CT_WINNER_CANDIDATE_18,CT_WINNER_PARTY_18,CT_WINNER_TEXT_18,LOCATION,TOTAL_POP,RACE,PARTISANSHIP,DEMOCRAT_SHARE,REPUBLICAN_SHARE,WHITE_SHARE,BLACK_SHARE,HISPANIC_SHARE,OTHER_SHARE,MUNICIPALITY
260,Andrew Gillum (DEM),DEM,83.78,91.7,Andrew Gillum (DEM) won with 91.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Dr. M. L. King Jr Memorial Park,897,Majority Black,Heavily Democrat,69.5,7.6,1.3,63.1,29.4,6.1,Unincorporated M-D
261,Andrew Gillum (DEM),DEM,90.77,95.1,Andrew Gillum (DEM) won with 95.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Agenoria S. Paschal/Olinda Elementary School,2305,Majority Black,Heavily Democrat,74.7,6.6,1.3,74,18.8,5.9,Unincorporated M-D
262,Andrew Gillum (DEM),DEM,82.72,90.9,Andrew Gillum (DEM) won with 90.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Mildred & Claude Pepper Towers,1760,Majority Black,Heavily Democrat,69.9,10.1,1,67.4,27,4.6,Unincorporated M-D
264,Andrew Gillum (DEM),DEM,84.10,91.7,Andrew Gillum (DEM) won with 91.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Kelsey L. Pharr Elementary School,1451,Majority Black,Heavily Democrat,67.7,8.3,2.5,59.2,33.1,5.2,Unincorporated M-D
265,Andrew Gillum (DEM),DEM,74.42,86.0,Andrew Gillum (DEM) won with 86% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Freeman Collins & Raymond Britton Senior Facility,90,Majority Black,Heavily Democrat,58.9,17.8,4.4,57.8,28.9,8.9,Opa Locka
266,Andrew Gillum (DEM),DEM,61.70,80.9,Andrew Gillum (DEM) won with 80.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Jefferson Reaves Sr. Park,87,Majority Hispanic,Heavily Democrat,59.8,19.5,0,47.1,51.7,1.1,Unincorporated M-D
267,Andrew Gillum (DEM),DEM,74.47,86.6,Andrew Gillum (DEM) won with 86.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Universal Truth Center,1477,Other,Heavily Democrat,59,14.4,2.7,47.9,43.9,5.4,Miami Gardens
269,Andrew Gillum (DEM),DEM,95.05,97.2,Andrew Gillum (DEM) won with 97.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Mount Zion African Methodist Episcopal Church,1554,Majority Black,Heavily Democrat,74.8,6.5,0.4,77.3,16.6,5.7,Miami Gardens
270,Andrew Gillum (DEM),DEM,92.08,95.8,Andrew Gillum (DEM) won with 95.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,City of Miami Gardens City Hall,2562,Majority Black,Heavily Democrat,72.3,5.9,1.4,74.4,16.7,7.5,Miami Gardens
272,Andrew Gillum (DEM),DEM,25.81,62.6,Andrew Gillum (DEM) won with 62.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Charles David Wyche Jr Elementary School,2340,Majority Hispanic,Other,36.4,28,5.6,12.9,74.7,6.8,Unincorporated M-D
274,Andrew Gillum (DEM),DEM,66.71,83.3,Andrew Gillum (DEM) won with 83.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Carol City Elementary School,1504,Other,Heavily Democrat,56.6,19,2.9,42.8,47,7.4,Miami Gardens
275,Andrew Gillum (DEM),DEM,87.75,93.1,Andrew Gillum (DEM) won with 93.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Dr. M. L. King Jr Memorial Park,403,Majority Black,Heavily Democrat,68.5,7.2,1.7,65.5,27.8,5,Unincorporated M-D
276,Andrew Gillum (DEM),DEM,84.88,92.4,Andrew Gillum (DEM) won with 92.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Greater Miami Church of God,1706,Majority Black,Heavily Democrat,66.4,7.3,3,68.5,19.3,9.2,Unincorporated M-D
278,Andrew Gillum (DEM),DEM,37.93,67.2,Andrew Gillum (DEM) won with 67.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Dayspring Missionary Baptist Church,206,Majority Hispanic,Other,34.5,23.3,2.4,6.8,79.1,11.7,Unincorporated M-D
280,Andrew Gillum (DEM),DEM,94.01,96.7,Andrew Gillum (DEM) won with 96.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Freeman Collins & Raymond Britton Senior Facility,1295,Majority Black,Heavily Democrat,73.5,4.6,1.5,79.9,13.1,5.6,Opa Locka
281,Andrew Gillum (DEM),DEM,12.50,55.2,Andrew Gillum (DEM) won with 55.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Jefferson Reaves Sr. Park,339,Majority Hispanic,Other,36,28.3,1.8,3.5,87.6,7.1,Unincorporated M-D
282,Andrew Gillum (DEM),DEM,84.79,92.0,Andrew Gillum (DEM) won with 92% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Lorah Park Elementary School,2908,Majority Black,Heavily Democrat,68,10,1.7,60.4,31.7,6.2,Unincorporated M-D
284,Andrew Gillum (DEM),DEM,15.78,56.5,Andrew Gillum (DEM) won with 56.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Melrose Elementary School,1404,Majority Hispanic,Other,38.4,27.4,4.1,2.4,86.5,7,Unincorporated M-D
285,Andrew Gillum (DEM),DEM,13.10,56.0,Andrew Gillum (DEM) won with 56% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Melrose Elementary School,201,Majority Hispanic,Other,34.8,31.8,4.5,1,87.6,7,Unincorporated M-D
288,Ron DeSantis (REP) and Andrew Gillum (DEM),TIED,0.00,50.0,Ron DeSantis (REP) and Andrew Gillum (DEM) were tied with 50% votes each in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Fire Fighter Benevolent Association,12,Majority Hispanic,Other,33.3,33.3,8.3,0,83.3,8.3,Unincorporated M-D
289,Ron DeSantis (REP),REP,16.67,58.3,Ron DeSantis (REP) won with 58.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Fire Fighter Benevolent Association,62,Majority Hispanic,Other,25.8,40.3,17.7,1.6,72.6,8.1,Unincorporated M-D
291,Andrew Gillum (DEM),DEM,58.74,79.0,Andrew Gillum (DEM) won with 79% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Gardens Elementary School,2472,Other,Heavily Democrat,55.1,20.3,3.3,42.4,47.9,6.4,Miami Gardens
295,Andrew Gillum (DEM),DEM,92.35,96.1,Andrew Gillum (DEM) won with 96.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Dade Regional Library,3215,Majority Black,Heavily Democrat,75,5.5,1.7,79.2,13.7,5.4,Miami Gardens
296,Andrew Gillum (DEM),DEM,65.84,82.4,Andrew Gillum (DEM) won with 82.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Dr. Robert B. Ingram Elementary School,2785,Other,Heavily Democrat,57,15.3,3.2,44.3,46,6.5,Opa Locka
297,Ron DeSantis (REP),REP,14.44,56.0,Ron DeSantis (REP) won with 56% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Seduction Banquet Hall,2919,Majority Hispanic,Other,23.5,41,4.4,0.7,88.7,6.2,Hialeah
298,Ron DeSantis (REP),REP,4.93,51.8,Ron DeSantis (REP) won with 51.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Springs Golf & Country Club,2300,Majority Hispanic,Other,27.3,37,25,0.7,66.7,7.6,Miami Springs
299,Ron DeSantis (REP),REP,11.88,54.8,Ron DeSantis (REP) won with 54.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Hialeah Fire Station #7,1890,Majority Hispanic,Other,23.2,42.5,2.8,0.3,88.7,8.3,Hialeah
300,Andrew Gillum (DEM),DEM,22.64,60.7,Andrew Gillum (DEM) won with 60.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Country Club of Miami,4354,Majority Hispanic,Other,31.6,28.9,5.7,4.3,83.2,6.8,Unincorporated M-D
301,Ron DeSantis (REP),REP,34.07,66.4,Ron DeSantis (REP) won with 66.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Palm Baptist Church,1619,Majority Hispanic,Other,19.3,49.7,20.2,0.6,75.4,3.8,Unincorporated M-D
302,Ron DeSantis (REP),REP,24.95,62.0,Ron DeSantis (REP) won with 62% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Norman & Jean Reach Park,1924,Majority Hispanic,Other,20.9,46,17.1,0.9,76.4,5.7,Unincorporated M-D
303,Andrew Gillum (DEM),DEM,6.07,52.4,Andrew Gillum (DEM) won with 52.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Sunrise Presbyterian Church,3554,Majority Hispanic,Other,33.3,33.8,13.1,8.6,71.6,6.8,Unincorporated M-D
304,Andrew Gillum (DEM),DEM,28.09,63.1,Andrew Gillum (DEM) won with 63.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Country Village Park,3759,Majority Hispanic,Other,33.5,25.5,4.2,5.7,81.5,8.6,Unincorporated M-D
305,Ron DeSantis (REP),REP,10.82,54.9,Ron DeSantis (REP) won with 54.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Lakes Branch Library,3172,Majority Hispanic,Other,26.5,41.1,18.4,3.9,72.1,5.5,Miami Lakes
306,Andrew Gillum (DEM),DEM,0.16,49.5,Andrew Gillum (DEM) won with 49.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Lakes Middle School,2524,Majority Hispanic,Other,26.4,37.6,17.1,4.4,73.2,5.3,Miami Lakes
307,Ron DeSantis (REP),REP,31.23,65.2,Ron DeSantis (REP) won with 65.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Lakes United Methodist Church,2271,Majority Hispanic,Heavily Republican,22.4,50.8,20.6,1,73.1,5.4,Miami Lakes
308,Ron DeSantis (REP),REP,23.45,61.4,Ron DeSantis (REP) won with 61.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Lakes K-8 Center,1477,Majority Hispanic,Other,24.4,46.6,20,0.7,73.4,5.9,Miami Lakes
309,Ron DeSantis (REP),REP,20.23,59.5,Ron DeSantis (REP) won with 59.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Carl F. Slade Park,2868,Majority Hispanic,Other,24.2,43.3,3.4,0.3,89.1,7.2,Hialeah
310,Ron DeSantis (REP),REP,35.89,67.2,Ron DeSantis (REP) won with 67.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Hialeah-Miami Lakes Senior High School,2561,Majority Hispanic,Other,21.1,47.6,7.9,0.5,85.2,6.4,Hialeah
311,Ron DeSantis (REP),REP,20.58,59.3,Ron DeSantis (REP) won with 59.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Iglesia Cristo Vive - Hermanos en Cristo,3624,Majority Hispanic,Other,22.9,45.7,3.9,1.4,88.2,6.5,Hialeah
312,Ron DeSantis (REP),REP,16.42,57.4,Ron DeSantis (REP) won with 57.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Ministerio Unidos En Amor,2283,Majority Hispanic,Other,23.2,40.2,5,0.7,86.5,7.8,Hialeah
314,Ron DeSantis (REP),REP,54.55,76.4,Ron DeSantis (REP) won with 76.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Hialeah Middle School,233,Majority Hispanic,Other,18.5,47.2,6.9,0.4,88,4.7,Hialeah
315,Ron DeSantis (REP),REP,36.32,67.4,Ron DeSantis (REP) won with 67.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Palm Springs Elementary School,2125,Majority Hispanic,Other,19.8,46,7.5,0.3,86.8,5.4,Hialeah
316,Ron DeSantis (REP),REP,38.68,68.5,Ron DeSantis (REP) won with 68.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,O'Quinn Park,1782,Majority Hispanic,Other,19,49.8,6.9,0.5,86,6.6,Hialeah
317,Ron DeSantis (REP),REP,47.35,73.1,Ron DeSantis (REP) won with 73.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Hialeah Fire Station #5,1565,Majority Hispanic,Heavily Republican,16.9,54.2,10.2,0.3,84.4,5.1,Hialeah
318,Ron DeSantis (REP),REP,34.85,66.8,Ron DeSantis (REP) won with 66.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,John G. DuPuis Elementary School,3309,Majority Hispanic,Other,21.4,48.5,5.9,0.3,87.4,6.4,Hialeah
319,Ron DeSantis (REP),REP,43.65,71.2,Ron DeSantis (REP) won with 71.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Hialeah Middle School,1473,Majority Hispanic,Other,20.2,48.9,7.2,0.2,86.2,6.4,Hialeah
320,Ron DeSantis (REP),REP,28.21,63.4,Ron DeSantis (REP) won with 63.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Sparks Park,3268,Majority Hispanic,Other,20.2,46.8,4.3,0.4,88.8,6.5,Hialeah
321,Ron DeSantis (REP),REP,11.04,54.4,Ron DeSantis (REP) won with 54.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Victor Wilde Community Center,3673,Majority Hispanic,Other,23.7,44.9,3.7,0.5,88.9,6.9,Hialeah
322,Andrew Gillum (DEM),DEM,14.06,55.8,Andrew Gillum (DEM) won with 55.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Ben Sheppard Elementary School,2500,Majority Hispanic,Other,29.3,32.8,3.8,1,87.5,7.8,Hialeah
323,Ron DeSantis (REP),REP,19.86,59.2,Ron DeSantis (REP) won with 59.2% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,La Esperanza Senior Housing Project,1908,Majority Hispanic,Other,22.6,48,2.9,0.5,89.7,6.9,Hialeah
324,Ron DeSantis (REP),REP,24.85,61.3,Ron DeSantis (REP) won with 61.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Vivian Villas,1827,Majority Hispanic,Other,20.9,45.5,2.7,0.8,88.9,7.6,Hialeah
325,Ron DeSantis (REP),REP,44.54,72.0,Ron DeSantis (REP) won with 72% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Goodlet Park,1289,Majority Hispanic,Heavily Republican,18.2,52.2,7.6,0.3,87,5.1,Hialeah
326,Ron DeSantis (REP),REP,44.64,71.1,Ron DeSantis (REP) won with 71.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Goodlet Park,1177,Majority Hispanic,Heavily Republican,18.2,53.4,6.9,0.3,87.1,5.8,Hialeah
327,Ron DeSantis (REP),REP,4.12,51.1,Ron DeSantis (REP) won with 51.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Jose Marti MAST 6-12 Academy,2899,Majority Hispanic,Other,24.9,37.3,2.8,0.5,88.9,7.8,Hialeah
328,Ron DeSantis (REP),REP,34.95,66.6,Ron DeSantis (REP) won with 66.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Immaculate Conception Catholic Church,3129,Majority Hispanic,Other,20.4,48.7,5.3,0.4,88.1,6.1,Hialeah
329,Andrew Gillum (DEM),DEM,73.33,86.7,Andrew Gillum (DEM) won with 86.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Johnny L. Cotson Sr Park,27,Majority Black,Heavily Democrat,74.1,3.7,0,81.5,7.4,11.1,Hialeah
330,Ron DeSantis (REP),REP,18.59,58.9,Ron DeSantis (REP) won with 58.9% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Trail Park,2881,Majority Hispanic,Other,22.6,44.2,5.3,0.6,89.3,4.8,Unincorporated M-D
331,Ron DeSantis (REP),REP,38.44,68.5,Ron DeSantis (REP) won with 68.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,John F. Kennedy Library,3314,Majority Hispanic,Other,20.3,49.2,5.3,0.4,87.5,6.8,Hialeah
332,Ron DeSantis (REP),REP,17.78,58.0,Ron DeSantis (REP) won with 58% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Twin Lakes Elementary School,2276,Majority Hispanic,Other,21.5,43.4,4,1.4,87.3,7.4,Hialeah
333,Ron DeSantis (REP),REP,24.41,60.8,Ron DeSantis (REP) won with 60.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,James H. Bright Elementary School,1903,Majority Hispanic,Other,22.2,44.8,4.2,0.7,86.6,8.6,Hialeah
334,Ron DeSantis (REP),REP,5.33,52.0,Ron DeSantis (REP) won with 52% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Twin Lakes Elementary School,134,Majority Hispanic,Other,24.6,42.5,9,1.5,84.3,5.2,Hialeah
335,Ron DeSantis (REP),REP,8.77,53.1,Ron DeSantis (REP) won with 53.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Johnny L. Cotson Sr Park,1696,Majority Hispanic,Other,25.7,45.3,3,7.9,82.3,6.8,Hialeah
336,Ron DeSantis (REP),REP,20.11,59.5,Ron DeSantis (REP) won with 59.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Johnny L. Cotson Sr Park,863,Majority Hispanic,Other,21.7,48.6,5.1,0.8,86.7,7.4,Hialeah
337,Ron DeSantis (REP),REP,22.68,60.4,Ron DeSantis (REP) won with 60.4% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Bright Park Recreation Center,3155,Majority Hispanic,Other,21.5,45.2,5.2,0.8,86.8,7.2,Hialeah
338,Ron DeSantis (REP),REP,32.59,65.6,Ron DeSantis (REP) won with 65.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Revive Iglesia Adventista del Septimo Dia,1493,Majority Hispanic,Other,21,44.3,6.8,0.7,86.3,6.2,Hialeah
339,Ron DeSantis (REP),REP,25.50,61.8,Ron DeSantis (REP) won with 61.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Revive Iglesia Adventista del Septimo Dia,3499,Majority Hispanic,Other,22.7,44,4.8,0.7,87,7.6,Hialeah
340,Ron DeSantis (REP),REP,12.52,55.1,Ron DeSantis (REP) won with 55.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Benny Babcock Park,4415,Majority Hispanic,Other,24,45.4,3.4,1,88,7.6,Hialeah
341,Andrew Gillum (DEM),DEM,25.00,62.5,Andrew Gillum (DEM) won with 62.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,West End Park Community House,161,Majority Hispanic,Other,31.7,24.2,17.4,5.6,64.6,12.4,Unincorporated M-D
342,Ron DeSantis (REP),REP,18.25,58.3,Ron DeSantis (REP) won with 58.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,South East Park,1968,Majority Hispanic,Other,22.9,43.5,5.7,0.7,88,5.6,Hialeah
343,Ron DeSantis (REP) and Andrew Gillum (DEM),TIED,0.00,49.7,Ron DeSantis (REP) and Andrew Gillum (DEM) were tied with 49.7% votes each in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Springs Middle School,2873,Majority Hispanic,Other,27.8,35.7,18.4,1.5,73.8,6.3,Miami Springs
344,Ron DeSantis (REP),REP,6.56,52.7,Ron DeSantis (REP) won with 52.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami Springs Community Center,2108,Majority Hispanic,Other,30.6,37.7,28.5,0.6,63.6,7.3,Miami Springs
345,Ron DeSantis (REP),REP,100.00,100.0,Ron DeSantis (REP) won with 100% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,West End Park Community House,3,Majority Hispanic,Heavily Republican,33.3,66.7,0,0,100,0,Unincorporated M-D
346,Ron DeSantis (REP),REP,10.22,54.6,Ron DeSantis (REP) won with 54.6% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Springview Elementary School,1922,Majority Hispanic,Other,27.3,42.7,31,0.6,61.9,6.6,Miami Springs
347,Andrew Gillum (DEM),DEM,8.40,53.7,Andrew Gillum (DEM) won with 53.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Virginia Gardens Town Hall,1470,Majority Hispanic,Other,31.4,34.3,19.4,0.6,75.2,4.8,Virginia Gardens
348,Ron DeSantis (REP),REP,19.52,57.8,Ron DeSantis (REP) won with 57.8% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Medley Town Hall,698,Majority Hispanic,Other,18.1,43.8,5.7,0.4,87,6.9,Medley
349,Ron DeSantis (REP),REP,9.19,53.5,Ron DeSantis (REP) won with 53.5% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Hialeah Gardens City Hall,2627,Majority Hispanic,Other,25,42.7,3.6,0.8,87.9,7.7,Hialeah
350,Andrew Gillum (DEM),DEM,30.80,65.0,Andrew Gillum (DEM) won with 65% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Miami-Dade County Fire Rescue Honey Hill Station,1634,Majority Hispanic,Other,39.2,28.5,7.7,19.6,62.4,10.3,Unincorporated M-D
351,Andrew Gillum (DEM),DEM,37.58,68.1,Andrew Gillum (DEM) won with 68.1% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,The Moors Club Center,4068,Majority Hispanic,Other,38.6,23.8,8.5,13,70.2,8.3,Unincorporated M-D
352,Ron DeSantis (REP),REP,33.10,66.3,Ron DeSantis (REP) won with 66.3% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Mary Collins Community Center,3553,Majority Hispanic,Heavily Republican,20.4,51.9,15,2.7,75.3,7,Miami Lakes
353,Ron DeSantis (REP),REP,16.69,57.7,Ron DeSantis (REP) won with 57.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,North Trail Park,2411,Majority Hispanic,Other,21.9,39.6,6.1,0.4,87.6,5.9,Unincorporated M-D
354,Ron DeSantis (REP),REP,47.28,72.7,Ron DeSantis (REP) won with 72.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Palm Springs Middle School,1219,Majority Hispanic,Other,18.1,49.1,7.5,0.2,85.6,6.8,Unincorporated M-D
355,Andrew Gillum (DEM),DEM,32.69,65.7,Andrew Gillum (DEM) won with 65.7% votes in 2018.,Andrew Gillum (DEM),DEM,Andrew Gillum (DEM) won Miami-Dade county with 59.9% votes in 2018.,Joella C. Good Elementary School,4000,Majority Hispanic,Other,37,25.8,6.4,8.5,77.2,7.9,Unincorporated M-D
